$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
266,0-115,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,4.56,12.34,3,4.77,1.55,0.33,1.519,0.296,0.352,0.022
266,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,37.57,105.65,0,,,,,,,
266,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,37.57,105.65,0,,,,,,,
266,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,37.57,105.65,5,0.00,0.00,0.00,1.283,0.250,0.297,0.018
266,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,37.57,105.65,2,0.00,0.00,0.00,0.497,0.097,0.115,0.007
266,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,10.82,38.54,8,17.92,12.22,0.63,6.641,1.292,1.539,0.095
266,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,10.82,38.54,17,18.54,12.71,0.59,13.461,2.619,3.120,0.193
266,0-115,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.67,17.84,8,29.06,24.07,0.63,7.990,1.555,1.852,0.114
266,0-115,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,5.23,19.58,6,4.91,1.95,0.50,3.271,0.636,0.758,0.047
266,0-115,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,5.23,19.58,4,1.33,0.00,0.00,1.227,0.239,0.284,0.018
266,0-115,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,9.91,44.91,3,11.39,5.47,0.67,2.146,0.417,0.497,0.031
266,0-115,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,9.91,44.91,12,25.25,17.98,0.92,13.092,2.547,3.034,0.187
266,0-115,1-7: Carrera1@36.5-2: Carrera 25@209.1,11.02,25.48,4,54.86,45.72,1.25,6.617,1.287,1.534,0.095
266,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,2.36,12.95,2,0.00,0.00,0.00,0.547,0.107,0.127,0.008
266,0-115,1,11.14,105.65,74,17.52,12.67,0.57,58.144,11.313,13.475,0.832
266,115-230,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,8.01,32.37,9,36.94,28.62,0.89,11.152,2.170,2.585,0.160
266,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,88.99,143.94,3,39.21,32.45,0.67,3.431,0.668,0.795,0.049
266,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,88.99,143.94,8,60.33,50.52,1.00,12.980,2.526,3.008,0.186
266,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,88.99,143.94,13,46.24,36.74,1.00,18.023,3.507,4.177,0.258
266,115-230,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,88.99,143.94,10,51.40,42.68,0.90,14.087,2.741,3.265,0.202
266,115-230,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,25.07,50.95,9,47.38,39.00,0.89,12.628,2.457,2.927,0.181
266,115-230,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,25.07,50.95,19,40.41,32.55,0.84,23.251,4.524,5.389,0.333
266,115-230,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,11.16,31.99,8,38.47,28.84,1.00,10.735,2.089,2.488,0.154
266,115-230,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,19.62,50.58,11,28.67,23.27,0.55,9.910,1.928,2.297,0.142
266,115-230,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,19.62,50.58,5,30.10,22.90,0.80,5.357,1.042,1.242,0.077
266,115-230,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,12.69,30.44,6,39.09,31.43,0.83,7.240,1.409,1.678,0.104
