$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
265,0-115,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,4.70,12.50,3,5.10,1.89,0.33,1.533,0.298,0.355,0.022
265,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,35.96,103.46,0,,,,,,,
265,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.96,103.46,0,,,,,,,
265,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,35.96,103.46,5,0.00,0.00,0.00,1.283,0.250,0.297,0.018
265,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,35.96,103.46,3,0.00,0.00,0.00,0.743,0.145,0.172,0.011
265,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,9.95,38.54,9,15.93,10.86,0.56,6.925,1.347,1.605,0.099
265,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,9.95,38.54,17,18.54,12.71,0.59,13.461,2.619,3.120,0.193
265,0-115,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.82,17.84,8,29.69,24.70,0.63,8.061,1.568,1.868,0.115
265,0-115,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,5.22,19.73,7,4.50,1.95,0.43,3.541,0.689,0.821,0.051
265,0-115,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,5.22,19.73,4,1.99,0.00,0.00,1.264,0.246,0.293,0.018
265,0-115,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,10.29,44.91,3,12.24,6.14,0.67,2.182,0.425,0.506,0.031
265,0-115,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,10.29,44.91,12,26.11,18.81,0.92,13.239,2.576,3.068,0.189
265,0-115,1-7: Carrera1@36.5-2: Carrera 25@209.1,11.24,25.48,4,55.86,46.72,1.25,6.674,1.299,1.547,0.095
265,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,2.36,12.95,1,0.00,0.00,0.00,0.278,0.054,0.065,0.004
265,0-115,1,10.94,103.46,76,17.42,12.66,0.55,59.003,11.480,13.674,0.844
265,115-230,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,12.13,31.55,9,54.89,46.01,1.00,13.894,2.703,3.220,0.199
265,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,52.60,140.45,9,16.16,13.30,0.33,6.054,1.178,1.403,0.087
265,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,52.60,140.45,11,45.21,38.04,0.73,14.030,2.730,3.252,0.201
265,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,52.60,140.45,17,36.46,28.85,0.82,19.781,3.849,4.584,0.283
265,115-230,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,52.60,140.45,13,34.07,27.92,0.69,13.743,2.674,3.185,0.197
265,115-230,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,25.38,58.21,10,44.19,36.47,0.80,13.092,2.547,3.034,0.187
265,115-230,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,25.38,58.21,22,38.04,30.93,0.77,25.465,4.955,5.902,0.364
265,115-230,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,12.55,31.99,8,43.55,33.91,1.00,11.314,2.201,2.622,0.162
265,115-230,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,25.02,49.43,12,41.12,32.89,0.83,14.608,2.842,3.386,0.209
265,115-230,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,25.02,49.43,5,46.57,37.51,1.00,6.972,1.356,1.616,0.100
265,115-230,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,13.96,30.44,6,43.28,35.60,0.83,7.597,1.478,1.761,0.109
265,115-230,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,13.96,30.44,5,43.30,36.70,0.80,6.285,1.223,1.457,0.090
265,115-230,1-7: Carrera1@36.5-2: Carrera 25@209.1,14.93,44.48,8,36.69,29.07,0.75,9.340,1.817,2.165,0.134
265,115-230,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,11.91,24.39,4,43.67,36.11,0.75,5.024,0.977,1.164,0.072
265,115-230,1,21.06,140.45,139,39.55,32.22,0.78,167.026,32.497,38.710,2.389
265,230-345,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,8.30,13.01,5,41.86,34.89,0.80,6.268,1.220,1.453,0.090
265,230-345,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,25.57,69.88,8,28.51,21.15,0.63,7.901,1.537,1.831,0.113
265,230-345,1-2: Carrera 25@133.6-2: Carrera 25@209.1,25.57,69.88,7,32.76,27.67,0.57,7.200,1.401,1.669,0.103
265,230-345,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,25.57,69.88,7,20.57,13.71,0.57,5.603,1.090,1.299,0.080
265,230-345,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,25.57,69.88,9,35.84,28.56,0.78,10.084,1.962,2.337,0.144
265,230-345,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,25.05,57.05,10,40.28,32.36,0.80,12.523,2.436,2.902,0.179
265,230-345,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,25.05,57.05,21,36.98,29.20,0.81,24.197,4.708,5.608,0.346
265,230-345,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,8.09,25.20,9,28.15,21.92,0.78,9.291,1.808,2.153,0.133
265,230-345,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,38.77,84.00,14,59.54,50.13,1.07,22.220,4.323,5.150,0.318
265,230-345,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,38.77,84.00,12,51.30,41.85,0.92,17.250,3.356,3.998,0.247
265,230-345,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,32.05,70.23,7,57.59,48.07,1.29,11.534,2.244,2.673,0.165
265,230-345,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,32.05,70.23,11,47.97,39.41,0.91,15.308,2.978,3.548,0.219
265,230-345,1-7: Carrera1@36.5-2: Carrera 25@209.1,17.92,44.04,7,48.89,39.80,1.00,10.146,1.974,2.352,0.145
265,230-345,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,15.81,36.89,7,53.10,45.67,0.71,9.588,1.866,2.222,0.137
265,230-345,1,21.44,84.00,134,42.24,34.30,0.84,169.014,32.884,39.171,2.418
265,345-460,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,5.53,19.77,8,33.79,27.93,0.50,7.949,1.547,1.842,0.114
265,345-460,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,35.77,94.48,3,24.71,18.77,0.67,2.781,0.541,0.645,0.040
265,345-460,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.77,94.48,9,46.50,37.90,1.00,12.826,2.496,2.973,0.183
265,345-460,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,35.77,94.48,2,39.98,30.89,1.00,2.595,0.505,0.601,0.037
265,345-460,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,35.77,94.48,10,27.03,19.21,0.70,9.619,1.871,2.229,0.138
265,345-460,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,29.49,65.27,11,42.34,34.39,1.09,15.428,3.002,3.576,0.221
265,345-460,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,29.49,65.27,21,38.72,30.54,0.90,25.887,5.037,6.000,0.370
265,345-460,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,14.92,43.60,13,35.34,27.22,0.92,16.064,3.125,3.723,0.230
265,345-460,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,15.16,37.47,8,42.26,35.20,0.88,9.883,1.923,2.291,0.141
