$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
264,0-115,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,4.56,12.34,3,4.77,1.55,0.33,1.519,0.296,0.352,0.022
264,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,35.96,103.46,0,,,,,,,
264,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.96,103.46,0,,,,,,,
264,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,35.96,103.46,5,0.00,0.00,0.00,1.283,0.250,0.297,0.018
264,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,35.96,103.46,3,0.00,0.00,0.00,0.743,0.145,0.172,0.011
264,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,9.90,31.39,10,12.98,8.94,0.40,6.645,1.293,1.540,0.095
264,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,9.90,31.39,15,19.84,13.34,0.60,12.222,2.378,2.833,0.175
264,0-115,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.37,17.84,8,27.81,22.82,0.63,7.848,1.527,1.819,0.112
264,0-115,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,5.23,19.58,6,4.91,1.95,0.50,3.271,0.636,0.758,0.047
264,0-115,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,5.23,19.58,4,1.33,0.00,0.00,1.227,0.239,0.284,0.018
264,0-115,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,9.51,44.91,3,9.87,4.14,0.67,2.081,0.405,0.482,0.030
264,0-115,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,9.51,44.91,12,23.57,16.48,0.75,11.824,2.301,2.740,0.169
264,0-115,1-7: Carrera1@36.5-2: Carrera 25@209.1,10.60,25.48,4,52.86,43.72,1.25,6.503,1.265,1.507,0.093
264,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,2.36,12.95,2,0.00,0.00,0.00,0.547,0.107,0.127,0.008
264,0-115,1,10.69,103.46,75,16.30,11.65,0.51,55.553,10.809,12.875,0.795
264,115-230,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,10.68,32.37,9,45.94,37.00,1.00,12.788,2.488,2.964,0.183
264,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,62.47,140.45,9,35.13,29.43,0.67,9.858,1.918,2.285,0.141
264,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,62.47,140.45,13,54.08,45.54,0.92,19.336,3.762,4.481,0.277
264,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,62.47,140.45,18,38.98,30.86,0.89,22.086,4.297,5.119,0.316
264,115-230,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,62.47,140.45,16,40.06,32.84,0.81,19.086,3.713,4.423,0.273
264,115-230,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,23.97,50.95,8,48.31,38.88,1.00,11.707,2.278,2.713,0.167
264,115-230,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,23.97,50.95,18,37.89,29.91,0.89,21.752,4.232,5.041,0.311
264,115-230,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.91,25.50,8,27.50,18.38,0.88,8.971,1.745,2.079,0.128
264,115-230,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,23.92,50.58,10,39.72,31.34,0.70,11.296,2.198,2.618,0.162
264,115-230,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,23.92,50.58,4,46.62,37.62,1.00,5.612,1.092,1.301,0.080
