$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
68,0-115,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,2.22,6.35,0,,,,,,,
68,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,16.11,42.99,2,0.03,0.00,0.00,0.558,0.109,0.129,0.008
68,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,16.11,42.99,2,0.00,0.00,0.00,0.595,0.116,0.138,0.009
68,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,16.11,42.99,2,0.00,0.00,0.00,0.528,0.103,0.122,0.008
68,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@554.1,16.11,42.99,0,,,,,,,
68,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,13.97,38.28,9,29.11,21.35,1.00,10.472,2.038,2.427,0.150
68,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,13.97,38.28,6,10.64,7.37,0.33,3.321,0.646,0.770,0.048
68,0-115,1-3: Avenida Mijitayo@134.1-10030@56.6,13.97,38.28,6,29.49,21.79,1.00,6.951,1.352,1.611,0.099
68,0-115,1-4: Panamericana S-N@497.6-4: Panamericana S-N@565.1,0.00,0.00,0,,,,,,,
68,0-115,1-5: Panamericana N-S Paralela@150.4-2: Carrera 25@209.1,6.80,31.44,3,2.53,0.00,0.00,0.807,0.157,0.187,0.012
68,0-115,1-5: Panamericana N-S Paralela@150.4-5: Panamericana N-S Paralela@217.9,6.80,31.44,5,7.75,1.83,0.40,2.941,0.572,0.682,0.042
68,0-115,1-6: Panamericana S-N paralela@486.6-3: Avenida Mijitayo@209.2,3.95,12.69,1,40.59,32.89,1.00,1.233,0.240,0.286,0.018
68,0-115,1-6: Panamericana S-N paralela@486.6-6: Panamericana S-N paralela@554.1,3.95,12.69,3,17.70,12.11,0.33,2.084,0.405,0.483,0.030
68,0-115,1-7: Carrera1@36.4-2: Carrera 25@209.1,0.00,0.00,0,,,,,,,
68,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,4.36,25.94,2,0.00,0.00,0.00,0.549,0.107,0.127,0.008
68,0-115,1,5.93,42.99,41,15.68,10.87,0.51,30.185,5.873,6.996,0.432
68,0-115,2-1: Panamericana N-S@744.3-10@10.7,1.86,6.32,0,,,,,,,
68,0-115,2-1: Panamericana N-S@744.3-12@12.8,1.86,6.32,1,0.00,0.00,0.00,0.249,0.048,0.058,0.004
68,0-115,2-1: Panamericana N-S@744.3-15@13.3,1.86,6.32,1,0.00,0.00,0.00,0.240,0.047,0.056,0.003
68,0-115,2-5: Panamericana N-S Paralela@704.4-13@11.6,4.63,25.79,0,,,,,,,
68,0-115,2-5: Panamericana N-S Paralela@704.4-15@13.3,4.63,25.79,0,,,,,,,
68,0-115,2-9@206.1-12@12.8,22.38,62.39,3,30.91,25.78,0.67,2.953,0.575,0.684,0.042
68,0-115,2-9@206.1-15@13.3,22.38,62.39,0,,,,,,,
68,0-115,2-9@206.1-10018@25.7,22.38,62.39,0,,,,,,,
68,0-115,2-9@206.1-10033@33.1,22.38,62.39,3,60.43,51.97,1.00,4.636,0.902,1.074,0.066
68,0-115,2-11@362.2-4: Panamericana S-N@12.1,12.86,45.16,6,3.98,0.56,0.17,2.311,0.450,0.536,0.033
68,0-115,2-11@362.2-10@10.7,12.86,45.16,5,21.37,16.28,0.60,4.161,0.809,0.964,0.060
68,0-115,2-11@362.2-15@13.3,12.86,45.16,8,31.20,22.34,0.88,8.694,1.691,2.015,0.124
68,0-115,2-11@362.2-10022@41.1,12.86,45.16,2,18.77,13.64,0.50,1.517,0.295,0.351,0.022
68,0-115,2-14@245.1-4: Panamericana S-N@12.1,6.89,19.19,0,,,,,,,
68,0-115,2-14@245.1-10@10.7,6.89,19.19,1,2.05,0.00,0.00,0.305,0.059,0.071,0.004
68,0-115,2-14@245.1-12@12.8,6.89,19.19,2,31.32,23.11,1.00,2.319,0.451,0.538,0.033
68,0-115,2-14@245.1-10034@22.7,6.89,19.19,1,36.05,28.73,1.00,1.128,0.219,0.261,0.016
68,0-115,2-10012@26.0-10012@41.4,0.00,0.00,4,0.00,0.00,0.00,0.789,0.154,0.183,0.011
68,0-115,2,8.10,62.39,37,21.42,16.19,0.54,29.425,5.725,6.820,0.421
68,115-230,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,7.28,24.10,2,46.81,37.89,0.50,2.423,0.471,0.562,0.035
68,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,27.79,69.62,5,37.82,31.21,0.60,5.600,1.090,1.298,0.080
68,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,27.79,69.62,3,53.26,44.85,1.00,4.572,0.890,1.060,0.065
68,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,27.79,69.62,2,28.53,21.01,1.00,2.129,0.414,0.494,0.030
68,115-230,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@554.1,27.79,69.62,8,34.63,27.38,0.88,9.377,1.824,2.173,0.134
68,115-230,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,28.97,52.81,13,38.99,32.52,0.69,15.266,2.970,3.538,0.218
68,115-230,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,28.97,52.81,8,60.99,52.64,0.88,12.283,2.390,2.847,0.176
68,115-230,1-3: Avenida Mijitayo@134.1-10030@56.6,28.97,52.81,9,36.34,30.10,0.67,9.952,1.936,2.307,0.142
68,115-230,1-4: Panamericana S-N@497.6-4: Panamericana S-N@565.1,16.71,25.98,11,50.27,44.08,0.64,14.222,2.767,3.296,0.203
68,115-230,1-5: Panamericana N-S Paralela@150.4-2: Carrera 25@209.1,25.42,56.82,8,46.45,38.97,0.88,10.384,2.020,2.407,0.149
68,115-230,1-5: Panamericana N-S Paralela@150.4-5: Panamericana N-S Paralela@217.9,25.42,56.82,12,32.30,25.19,0.83,13.767,2.679,3.191,0.197
68,115-230,1-6: Panamericana S-N paralela@486.6-3: Avenida Mijitayo@209.2,10.47,18.29,4,29.04,22.98,0.75,3.980,0.774,0.922,0.057
68,115-230,1-6: Panamericana S-N paralela@486.6-6: Panamericana S-N paralela@554.1,10.47,18.29,2,71.94,61.75,1.00,3.614,0.703,0.838,0.052
68,115-230,1-7: Carrera1@36.4-2: Carrera 25@209.1,22.95,43.86,8,52.54,43.83,0.75,11.111,2.162,2.575,0.159
68,115-230,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,11.09,32.42,6,44.14,37.36,0.83,7.745,1.507,1.795,0.111
68,115-230,1,18.84,69.62,101,43.13,35.95,0.77,126.418,24.596,29.299,1.809
68,115-230,2-1: Panamericana N-S@744.3-10@10.7,10.14,25.59,0,,,,,,,
68,115-230,2-1: Panamericana N-S@744.3-12@12.8,10.14,25.59,2,30.41,26.52,0.50,1.840,0.358,0.426,0.026
68,115-230,2-1: Panamericana N-S@744.3-15@13.3,10.14,25.59,2,0.00,0.00,0.00,0.485,0.094,0.112,0.007
68,115-230,2-5: Panamericana N-S Paralela@704.4-13@11.6,19.94,51.22,4,39.04,30.75,1.00,5.126,0.997,1.188,0.073
68,115-230,2-5: Panamericana N-S Paralela@704.4-15@13.3,19.94,51.22,5,46.76,38.60,1.00,6.729,1.309,1.560,0.096
68,115-230,2-9@206.1-12@12.8,24.83,61.11,7,33.01,23.64,0.86,7.906,1.538,1.832,0.113
68,115-230,2-9@206.1-15@13.3,24.83,61.11,11,41.01,33.17,0.82,13.577,2.642,3.147,0.194
68,115-230,2-9@206.1-10018@25.7,24.83,61.11,0,,,,,,,
68,115-230,2-9@206.1-10033@33.1,24.83,61.11,8,30.22,19.67,1.13,9.526,1.853,2.208,0.136
68,115-230,2-11@362.2-4: Panamericana S-N@12.1,31.21,77.25,5,44.81,37.43,0.80,6.144,1.195,1.424,0.088
68,115-230,2-11@362.2-10@10.7,31.21,77.25,7,29.66,22.14,0.71,6.964,1.355,1.614,0.100
68,115-230,2-11@362.2-15@13.3,31.21,77.25,10,44.27,35.62,0.90,12.998,2.529,3.013,0.186
68,115-230,2-11@362.2-10022@41.1,31.21,77.25,10,26.45,17.80,0.80,9.962,1.938,2.309,0.143
68,115-230,2-14@245.1-4: Panamericana S-N@12.1,24.01,61.83,5,42.78,34.59,1.00,6.644,1.293,1.540,0.095
68,115-230,2-14@245.1-10@10.7,24.01,61.83,3,7.78,0.47,0.67,2.057,0.400,0.477,0.029
68,115-230,2-14@245.1-12@12.8,24.01,61.83,2,28.56,21.11,1.00,2.145,0.417,0.497,0.031
68,115-230,2-14@245.1-10034@22.7,24.01,61.83,1,71.54,63.43,1.00,1.693,0.329,0.392,0.024
68,115-230,2-10012@26.0-10012@41.4,0.00,0.00,6,27.63,19.10,0.83,5.885,1.145,1.364,0.084
68,115-230,2,18.35,77.25,88,34.61,26.45,0.85,99.778,19.413,23.125,1.427
68,230-345,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,11.70,30.51,12,39.51,33.25,0.75,14.391,2.800,3.335,0.206
68,230-345,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,48.36,106.96,6,38.27,31.44,0.83,7.339,1.428,1.701,0.105
68,230-345,1-2: Carrera 25@133.6-2: Carrera 25@209.1,48.36,106.96,5,36.43,30.71,0.60,5.471,1.064,1.268,0.078
68,230-345,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,48.36,106.96,9,40.11,33.75,0.78,10.773,2.096,2.497,0.154
