$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
41,0-115,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,1.70,5.71,0,,,,,,,
41,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,33.16,100.43,1,0.00,0.00,0.00,0.273,0.053,0.063,0.004
41,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,33.16,100.43,0,,,,,,,
41,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,33.16,100.43,5,0.00,0.00,0.00,1.279,0.249,0.297,0.018
41,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@554.1,33.16,100.43,3,0.00,0.00,0.00,0.743,0.144,0.172,0.011
41,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,11.32,35.78,9,11.51,6.19,0.44,5.986,1.165,1.387,0.086
41,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,11.32,35.78,12,25.87,19.53,0.67,11.101,2.160,2.573,0.159
41,0-115,1-3: Avenida Mijitayo@134.1-10030@56.6,11.32,35.78,5,15.87,10.45,0.40,3.484,0.678,0.807,0.050
41,0-115,1-4: Panamericana S-N@497.6-4: Panamericana S-N@565.1,0.87,6.16,2,11.60,7.45,0.50,1.414,0.275,0.328,0.020
41,0-115,1-5: Panamericana N-S Paralela@150.4-2: Carrera 25@209.1,10.63,39.21,5,10.95,7.04,0.40,2.915,0.567,0.676,0.042
41,0-115,1-5: Panamericana N-S Paralela@150.4-5: Panamericana N-S Paralela@217.9,10.63,39.21,6,6.43,3.31,0.50,3.678,0.716,0.852,0.053
41,0-115,1-6: Panamericana S-N paralela@486.6-3: Avenida Mijitayo@209.2,1.50,6.14,3,12.43,8.93,0.33,1.669,0.325,0.387,0.024
41,0-115,1-6: Panamericana S-N paralela@486.6-6: Panamericana S-N paralela@554.1,1.50,6.14,0,,,,,,,
41,0-115,1-7: Carrera1@36.4-2: Carrera 25@209.1,0.00,0.00,1,0.00,0.00,0.00,0.295,0.057,0.068,0.004
41,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,0.42,5.73,4,6.55,1.44,0.25,1.942,0.378,0.450,0.028
41,0-115,1,7.45,100.43,56,12.03,7.94,0.39,34.791,6.769,8.063,0.498
41,0-115,2-1: Panamericana N-S@741.9-10@11.7,6.38,31.93,0,,,,,,,
41,0-115,2-1: Panamericana N-S@741.9-12@16.1,6.38,31.93,0,,,,,,,
41,0-115,2-1: Panamericana N-S@741.9-15@13.8,6.38,31.93,0,,,,,,,
41,0-115,2-5: Panamericana N-S Paralela@702.2-13@15.5,2.86,24.74,0,,,,,,,
41,0-115,2-5: Panamericana N-S Paralela@702.2-15@13.8,2.86,24.74,0,,,,,,,
41,0-115,2-9@205.1-4: Panamericana S-N@14.6,10.83,36.56,1,0.00,0.00,0.00,0.234,0.045,0.054,0.003
41,0-115,2-9@205.1-6: Panamericana S-N paralela@4.1,10.83,36.56,0,,,,,,,
41,0-115,2-9@205.1-12@16.1,10.83,36.56,2,0.00,0.00,0.00,0.521,0.101,0.121,0.007
41,0-115,2-9@205.1-15@13.8,10.83,36.56,1,0.00,0.00,0.00,0.267,0.052,0.062,0.004
41,0-115,2-11@359.4-4: Panamericana S-N@14.6,17.85,50.37,7,42.61,34.02,0.86,8.650,1.683,2.005,0.124
41,0-115,2-11@359.4-10@11.7,17.85,50.37,5,39.47,30.32,1.00,6.406,1.246,1.485,0.092
41,0-115,2-11@359.4-15@13.8,17.85,50.37,7,24.67,18.67,0.71,6.512,1.267,1.509,0.093
41,0-115,2-11@359.4-10022@43.8,17.85,50.37,6,34.36,27.70,0.67,6.278,1.221,1.455,0.090
41,0-115,2-14@244.4-4: Panamericana S-N@14.6,7.94,23.73,2,23.97,18.35,0.50,1.691,0.329,0.392,0.024
41,0-115,2-14@244.4-10@11.7,7.94,23.73,0,,,,,,,
41,0-115,2-14@244.4-12@16.1,7.94,23.73,3,25.88,20.73,0.67,2.817,0.548,0.653,0.040
41,0-115,2-14@244.4-10034@26.6,7.94,23.73,1,16.08,7.70,1.00,0.890,0.173,0.206,0.013
