$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
69,0-115,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,1.73,5.93,0,,,,,,,
69,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,35.96,103.46,0,,,,,,,
69,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.96,103.46,0,,,,,,,
69,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,35.96,103.46,5,0.00,0.00,0.00,1.279,0.249,0.297,0.018
69,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@554.1,35.96,103.46,3,0.00,0.00,0.00,0.743,0.144,0.172,0.011
69,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,11.70,35.78,9,9.95,5.59,0.22,4.886,0.951,1.132,0.070
69,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,11.70,35.78,12,24.30,18.19,0.67,10.832,2.108,2.511,0.155
69,0-115,1-3: Avenida Mijitayo@134.1-10030@56.6,11.70,35.78,4,17.85,12.07,0.50,3.116,0.606,0.722,0.045
69,0-115,1-4: Panamericana S-N@497.6-4: Panamericana S-N@565.1,0.00,0.00,1,0.00,0.00,0.00,0.291,0.057,0.067,0.004
69,0-115,1-5: Panamericana N-S Paralela@150.4-2: Carrera 25@209.1,9.79,39.05,5,7.75,3.84,0.40,2.661,0.518,0.617,0.038
69,0-115,1-5: Panamericana N-S Paralela@150.4-5: Panamericana N-S Paralela@217.9,9.79,39.05,6,3.27,1.25,0.33,2.952,0.574,0.684,0.042
69,0-115,1-6: Panamericana S-N paralela@486.6-3: Avenida Mijitayo@209.2,1.35,6.14,3,10.84,7.93,0.33,1.601,0.311,0.371,0.023
69,0-115,1-6: Panamericana S-N paralela@486.6-6: Panamericana S-N paralela@554.1,1.35,6.14,0,,,,,,,
69,0-115,1-7: Carrera1@36.4-2: Carrera 25@209.1,0.00,0.00,1,0.00,0.00,0.00,0.281,0.055,0.065,0.004
69,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,0.05,5.73,4,1.72,0.00,0.00,1.220,0.237,0.283,0.017
69,0-115,1,7.57,103.46,53,10.38,6.93,0.32,29.847,5.807,6.917,0.427
69,0-115,2-1: Panamericana N-S@744.3-10@10.7,5.61,30.38,0,,,,,,,
69,0-115,2-1: Panamericana N-S@744.3-12@12.8,5.61,30.38,0,,,,,,,
69,0-115,2-1: Panamericana N-S@744.3-15@13.3,5.61,30.38,0,,,,,,,
69,0-115,2-5: Panamericana N-S Paralela@704.4-13@11.6,2.97,38.73,0,,,,,,,
69,0-115,2-5: Panamericana N-S Paralela@704.4-15@13.3,2.97,38.73,0,,,,,,,
69,0-115,2-9@206.1-12@12.8,20.50,68.85,2,0.00,0.00,0.00,0.506,0.098,0.117,0.007
69,0-115,2-9@206.1-15@13.3,20.50,68.85,1,0.00,0.00,0.00,0.264,0.051,0.061,0.004
69,0-115,2-9@206.1-10018@25.7,20.50,68.85,0,,,,,,,
69,0-115,2-9@206.1-10033@33.1,20.50,68.85,0,,,,,,,
69,0-115,2-11@362.2-4: Panamericana S-N@12.1,16.51,44.05,7,39.64,31.44,0.86,8.291,1.613,1.921,0.119
69,0-115,2-11@362.2-10@10.7,16.51,44.05,5,36.43,27.92,1.00,6.158,1.198,1.427,0.088
