$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
66,0-115,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,1.73,5.93,0,,,,,,,
66,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,35.96,103.46,0,,,,,,,
66,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.96,103.46,0,,,,,,,
66,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,35.96,103.46,5,0.00,0.00,0.00,1.279,0.249,0.297,0.018
66,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@554.1,35.96,103.46,3,0.00,0.00,0.00,0.743,0.144,0.172,0.011
66,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,10.90,35.78,9,8.75,5.14,0.22,4.725,0.919,1.095,0.068
66,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,10.90,35.78,12,22.90,16.86,0.67,10.593,2.061,2.455,0.152
66,0-115,1-3: Avenida Mijitayo@134.1-10030@56.6,10.90,35.78,4,16.27,11.07,0.50,3.080,0.599,0.714,0.044
66,0-115,1-4: Panamericana S-N@497.6-4: Panamericana S-N@565.1,0.00,0.00,1,0.00,0.00,0.00,0.291,0.057,0.067,0.004
66,0-115,1-5: Panamericana N-S Paralela@150.4-2: Carrera 25@209.1,9.69,39.05,5,7.35,3.44,0.40,2.632,0.512,0.610,0.038
66,0-115,1-5: Panamericana N-S Paralela@150.4-5: Panamericana N-S Paralela@217.9,9.69,39.05,6,2.88,1.09,0.33,2.919,0.568,0.676,0.042
66,0-115,1-6: Panamericana S-N paralela@486.6-3: Avenida Mijitayo@209.2,1.20,6.14,3,9.77,6.93,0.33,1.555,0.303,0.360,0.022
66,0-115,1-6: Panamericana S-N paralela@486.6-6: Panamericana S-N paralela@554.1,1.20,6.14,0,,,,,,,
66,0-115,1-7: Carrera1@36.4-2: Carrera 25@209.1,0.00,0.00,1,0.00,0.00,0.00,0.281,0.055,0.065,0.004
66,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,0.00,0.00,4,1.34,0.00,0.00,1.198,0.233,0.278,0.017
66,0-115,1,7.44,103.46,53,9.57,6.37,0.32,29.235,5.688,6.776,0.418
66,0-115,2-1: Panamericana N-S@744.3-10@10.7,6.12,36.42,0,,,,,,,
66,0-115,2-1: Panamericana N-S@744.3-12@12.8,6.12,36.42,0,,,,,,,
66,0-115,2-1: Panamericana N-S@744.3-15@13.3,6.12,36.42,0,,,,,,,
66,0-115,2-5: Panamericana N-S Paralela@704.4-13@11.6,3.27,31.67,0,,,,,,,
66,0-115,2-5: Panamericana N-S Paralela@704.4-15@13.3,3.27,31.67,0,,,,,,,
66,0-115,2-9@206.1-12@12.8,20.50,68.85,2,0.00,0.00,0.00,0.506,0.098,0.117,0.007
66,0-115,2-9@206.1-15@13.3,20.50,68.85,1,0.00,0.00,0.00,0.264,0.051,0.061,0.004
66,0-115,2-9@206.1-10018@25.7,20.50,68.85,0,,,,,,,
66,0-115,2-9@206.1-10033@33.1,20.50,68.85,0,,,,,,,
66,0-115,2-11@362.2-4: Panamericana S-N@12.1,15.38,44.05,7,36.61,28.87,0.86,7.989,1.554,1.851,0.114
66,0-115,2-11@362.2-10@10.7,15.38,44.05,5,33.26,25.52,1.00,5.932,1.154,1.375,0.085
66,0-115,2-11@362.2-15@13.3,15.38,44.05,8,17.69,13.23,0.50,5.820,1.132,1.349,0.083
66,0-115,2-11@362.2-10022@41.1,15.38,44.05,6,29.48,23.70,0.67,5.805,1.129,1.345,0.083
66,0-115,2-14@245.1-4: Panamericana S-N@12.1,7.14,23.73,2,20.96,16.35,0.50,1.594,0.310,0.369,0.023
66,0-115,2-14@245.1-10@10.7,7.14,23.73,0,,,,,,,
66,0-115,2-14@245.1-12@12.8,7.14,23.73,3,23.21,18.06,0.67,2.683,0.522,0.622,0.038
66,0-115,2-14@245.1-10034@22.7,7.14,23.73,1,12.08,3.70,1.00,0.826,0.161,0.191,0.012
66,0-115,2-10012@26.0-10012@41.4,0.00,0.00,3,0.05,0.00,0.00,0.600,0.117,0.139,0.009
66,0-115,2,8.73,68.85,38,22.76,17.59,0.61,32.104,6.246,7.440,0.459
66,115-230,1-1: Panamericana N-S@190.8-1: Panamericana N-S@258.3,5.56,19.68,6,36.71,29.69,0.83,7.187,1.398,1.666,0.103
66,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@258.3,50.78,140.45,13,53.01,44.64,0.92,18.975,3.692,4.398,0.271
66,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,50.78,140.45,9,15.49,12.63,0.33,6.063,1.180,1.405,0.087
66,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@565.1,50.78,140.45,18,35.71,28.02,0.83,20.779,4.043,4.816,0.297
