$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
68,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
68,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
68,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
68,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
68,0-30,1,0.00,0.00,0,0,,,,,,,,
68,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
68,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
68,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
68,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
68,0-30,2,0.00,0.00,0,0,,,,,,,,
68,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
68,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
68,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
68,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
68,0-30,3,0.00,0.00,0,0,,,,,,,,
68,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
68,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
68,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
68,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
68,0-30,4,0.00,0.00,0,0,,,,,,,,
68,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
68,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
68,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
68,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
68,0-30,5,0.00,0.00,0,0,,,,,,,,
68,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
68,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
68,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
68,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
68,0-30,6,0.00,0.00,0,0,,,,,,,,
68,0-30,7-1@502.9-1@548.6,0.00,0.00,0,0,,,,,,,,
68,0-30,7-1@502.9-10013@36.1,0.00,0.00,0,0,,,,,,,,
68,0-30,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
68,0-30,7-6@980.0-10012@23.6,0.00,0.00,0,0,,,,,,,,
68,0-30,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
68,0-30,7,0.00,0.00,0,0,,,,,,,,
68,0-30,8-5@423.2-5@469.0,0.36,5.46,0,0,,,,,,,,
68,0-30,8-5@423.2-10015@36.2,0.36,5.46,0,0,,,,,,,,
68,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
68,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
68,0-30,8,0.18,5.46,0,0,,,,,,,,
68,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
68,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
68,30-60,1-14@693.2-14@738.8,1.10,14.23,3,3,0.00,0.00,0.00,0.00,0.685,0.133,0.159,0.010
68,30-60,1-14@693.2-10004@26.5,1.10,14.23,4,4,0.01,0.01,0.00,0.00,0.854,0.166,0.198,0.012
68,30-60,1,0.55,14.23,7,7,0.01,0.01,0.00,0.00,1.539,0.299,0.357,0.022
68,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
68,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
68,30-60,2-14@796.4-14@851.1,0.00,0.00,3,3,0.00,0.00,0.00,0.00,0.521,0.101,0.121,0.007
68,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
68,30-60,2,0.00,0.00,3,3,0.00,0.00,0.00,0.00,0.521,0.101,0.121,0.007
68,30-60,3-4@324.6-4@369.4,15.86,32.99,0,0,,,,,,,,
68,30-60,3-4@324.6-10007@30.9,15.86,32.99,0,0,,,,,,,,
68,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
68,30-60,3-14@898.0-10006@31.1,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.146,0.028,0.034,0.002
68,30-60,3,7.93,32.99,1,1,0.00,0.00,0.00,0.00,0.146,0.028,0.034,0.002
68,30-60,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
