$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
124,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
124,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
124,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
124,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
124,0-30,1,0.00,0.00,0,0,,,,,,,,
124,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
124,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
124,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
124,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
124,0-30,2,0.00,0.00,0,0,,,,,,,,
124,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
124,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
124,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
124,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
124,0-30,3,0.00,0.00,0,0,,,,,,,,
124,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
124,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
124,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
124,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
124,0-30,4,0.00,0.00,0,0,,,,,,,,
124,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
124,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
124,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
124,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
124,0-30,5,0.00,0.00,0,0,,,,,,,,
124,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
124,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
124,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
124,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
124,0-30,6,0.00,0.00,0,0,,,,,,,,
124,0-30,7-1@503.4-1@549.2,0.00,0.00,0,0,,,,,,,,
124,0-30,7-1@503.4-10013@34.7,0.00,0.00,0,0,,,,,,,,
124,0-30,7-6@978.7-6@1024.4,0.00,0.00,0,0,,,,,,,,
124,0-30,7-6@978.7-10012@24.2,0.00,0.00,0,0,,,,,,,,
124,0-30,7,0.00,0.00,0,0,,,,,,,,
124,0-30,8-5@423.2-5@469.0,0.17,5.12,0,0,,,,,,,,
124,0-30,8-5@423.2-10015@36.2,0.17,5.12,0,0,,,,,,,,
124,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
124,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
124,0-30,8,0.09,5.12,0,0,,,,,,,,
124,30-60,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
124,30-60,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
124,30-60,1-14@693.2-14@738.8,4.56,18.74,0,0,,,,,,,,
124,30-60,1-14@693.2-10004@26.5,4.56,18.74,0,0,,,,,,,,
124,30-60,1,2.28,18.74,0,0,,,,,,,,
124,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
124,30-60,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
124,30-60,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
124,30-60,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
124,30-60,2,0.00,0.00,0,0,,,,,,,,
124,30-60,3-4@324.6-4@369.4,4.17,20.35,6,6,7.86,7.86,2.33,0.50,4.121,0.802,0.955,0.059
124,30-60,3-4@324.6-10007@30.9,4.17,20.35,5,5,4.50,4.50,0.00,0.00,1.392,0.271,0.323,0.020
124,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
124,30-60,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
124,30-60,3,2.08,20.35,11,11,6.33,6.33,1.27,0.27,5.437,1.058,1.260,0.078
124,30-60,4-14@1011.0-14@1063.6,1.89,11.31,0,0,,,,,,,,
124,30-60,4-14@1011.0-10016@29.4,1.89,11.31,0,0,,,,,,,,
124,30-60,4-15@604.3-14@1063.6,0.90,5.60,2,2,4.89,4.89,0.50,0.50,1.248,0.243,0.289,0.018
