$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
9,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
9,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
9,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
9,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
9,0-30,1,0.00,0.00,0,,,,,,,
9,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
9,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
9,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
9,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
9,0-30,2,0.00,0.00,0,,,,,,,
9,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
9,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
9,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
9,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
9,0-30,3,0.00,0.00,0,,,,,,,
9,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
9,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
9,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
9,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
9,0-30,4,0.00,0.00,0,,,,,,,
9,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
9,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
9,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
9,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
9,0-30,5,0.00,0.00,0,,,,,,,
9,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
9,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
9,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
9,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
9,0-30,6,0.00,0.00,0,,,,,,,
9,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
9,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
9,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
9,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
9,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
9,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
9,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
9,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
9,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
9,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
9,30-60,1-5@777.9-5@820.9,0.87,13.86,1,5.94,0.00,0.00,0.305,0.059,0.071,0.004
9,30-60,1-5@777.9-14@745.4,0.87,13.86,0,,,,,,,
9,30-60,1-14@698.3-14@745.4,0.00,0.00,2,0.17,0.00,0.00,0.459,0.089,0.106,0.007
9,30-60,1-14@698.3-10004@28.4,0.00,0.00,4,0.75,0.00,0.00,0.894,0.174,0.207,0.013
9,30-60,1,0.44,13.86,7,1.32,0.00,0.00,1.657,0.322,0.384,0.024
9,30-60,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
9,30-60,2-1@839.5-10000@37.4,0.00,0.00,1,0.00,0.00,0.00,0.218,0.042,0.051,0.003
9,30-60,2-14@803.9-14@847.3,0.90,5.84,0,,,,,,,
9,30-60,2-14@803.9-10001@24.3,0.90,5.84,1,9.92,2.22,1.00,1.005,0.196,0.233,0.014
9,30-60,2,0.45,5.84,2,4.96,1.11,0.50,1.237,0.241,0.287,0.018
9,30-60,3-4@325.6-4@367.6,0.00,0.00,3,0.03,0.00,0.00,0.661,0.129,0.153,0.009
9,30-60,3-4@325.6-10007@31.1,0.00,0.00,2,1.48,0.00,0.00,0.472,0.092,0.109,0.007
9,30-60,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
9,30-60,3-14@905.4-10006@28.4,0.00,0.00,1,1.04,0.00,0.00,0.153,0.030,0.035,0.002
9,30-60,3,0.00,0.00,6,0.68,0.00,0.00,1.284,0.250,0.298,0.018
9,30-60,4-14@1018.5-14@1056.3,0.36,5.59,0,,,,,,,
9,30-60,4-14@1018.5-10016@30.7,0.36,5.59,0,,,,,,,
9,30-60,4-15@605.8-15@651.4,0.00,0.00,3,0.00,0.00,0.00,0.680,0.132,0.158,0.010
9,30-60,4-15@605.8-10017@29.2,0.00,0.00,2,0.00,0.00,0.00,0.425,0.083,0.098,0.006
9,30-60,4,0.18,5.59,5,0.00,0.00,0.00,1.104,0.215,0.256,0.016
9,30-60,5-6@771.4-6@812.3,0.00,0.00,2,0.10,0.00,0.00,0.448,0.087,0.104,0.006
9,30-60,5-6@771.4-10008@26.8,0.00,0.00,2,0.20,0.00,0.00,0.417,0.081,0.097,0.006
9,30-60,5-15@917.1-15@953.7,0.33,5.02,0,,,,,,,
9,30-60,5-15@917.1-10009@26.6,0.33,5.02,0,,,,,,,
9,30-60,5,0.17,5.02,4,0.15,0.00,0.00,0.865,0.168,0.200,0.012
9,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
9,30-60,6-4@647.9-10011@22.3,0.00,0.00,1,0.00,0.00,0.00,0.197,0.038,0.046,0.003
9,30-60,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
9,30-60,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
9,30-60,6,0.00,0.00,1,0.00,0.00,0.00,0.197,0.038,0.046,0.003
9,30-60,7-1@504.8-1@548.8,0.00,0.00,2,0.03,0.00,0.00,0.449,0.087,0.104,0.006
9,30-60,7-1@504.8-10013@33.6,0.00,0.00,2,0.08,0.00,0.00,0.441,0.086,0.102,0.006
9,30-60,7-6@983.5-6@1021.9,0.19,5.79,0,,,,,,,
9,30-60,7-6@983.5-10012@22.9,0.19,5.79,0,,,,,,,
9,30-60,7,0.10,5.79,4,0.05,0.00,0.00,0.890,0.173,0.206,0.013
9,30-60,8-5@427.2-5@466.3,0.21,6.22,3,0.00,0.00,0.00,0.663,0.129,0.154,0.009
9,30-60,8-5@427.2-10015@30.1,0.21,6.22,4,0.00,0.00,0.00,0.844,0.164,0.196,0.012
9,30-60,8-6@1086.4-6@1124.9,0.43,6.41,1,7.23,1.10,1.00,0.853,0.166,0.198,0.012
9,30-60,8-6@1086.4-10014@25.1,0.43,6.41,1,3.08,0.00,0.00,0.186,0.036,0.043,0.003
9,30-60,8,0.32,6.41,9,1.15,0.12,0.11,2.606,0.507,0.604,0.037
9,60-90,1-5@777.9-5@820.9,2.95,11.72,2,7.55,2.05,0.50,1.272,0.248,0.295,0.018
9,60-90,1-5@777.9-14@745.4,2.95,11.72,2,8.22,2.14,1.00,2.097,0.408,0.486,0.030
9,60-90,1-14@698.3-14@745.4,0.00,0.00,6,0.33,0.00,0.00,1.398,0.272,0.324,0.020
9,60-90,1-14@698.3-10004@28.4,0.00,0.00,3,1.57,0.00,0.00,0.691,0.134,0.160,0.010
9,60-90,1,1.47,11.72,13,2.94,0.64,0.23,5.469,1.064,1.268,0.078
9,60-90,2-1@839.5-1@885.5,1.03,6.45,2,3.99,1.07,0.50,1.253,0.244,0.290,0.018
9,60-90,2-1@839.5-10000@37.4,1.03,6.45,0,,,,,,,
9,60-90,2-14@803.9-14@847.3,2.85,15.37,4,6.20,1.55,0.50,2.371,0.461,0.549,0.034
9,60-90,2-14@803.9-10001@24.3,2.85,15.37,3,3.93,0.00,0.00,0.574,0.112,0.133,0.008
9,60-90,2,1.94,15.37,9,4.95,0.93,0.33,4.208,0.819,0.975,0.060
9,60-90,3-4@325.6-4@367.6,0.68,14.22,7,2.25,0.02,0.14,2.443,0.475,0.566,0.035
9,60-90,3-4@325.6-10007@31.1,0.68,14.22,4,3.38,0.00,0.00,1.040,0.202,0.241,0.015
9,60-90,3-14@905.4-14@945.6,1.34,5.97,0,,,,,,,
9,60-90,3-14@905.4-10006@28.4,1.34,5.97,1,9.50,2.42,1.00,0.972,0.189,0.225,0.014
9,60-90,3,1.01,14.22,12,3.23,0.21,0.17,4.426,0.861,1.026,0.063
9,60-90,4-14@1018.5-14@1056.3,3.49,12.24,1,17.80,10.06,1.00,1.081,0.210,0.251,0.015
9,60-90,4-14@1018.5-10016@30.7,3.49,12.24,2,7.75,2.51,0.50,1.232,0.240,0.286,0.018
9,60-90,4-15@605.8-15@651.4,1.67,6.12,1,0.00,0.00,0.00,0.224,0.044,0.052,0.003
9,60-90,4-15@605.8-10017@29.2,1.67,6.12,3,2.85,0.00,0.33,1.428,0.278,0.331,0.020
9,60-90,4,2.58,12.24,7,5.98,2.15,0.43,4.001,0.778,0.927,0.057
