$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
12,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
12,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
12,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
12,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
12,0-30,1,0.00,0.00,0,,,,,,,
12,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
12,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
12,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
12,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
12,0-30,2,0.00,0.00,0,,,,,,,
12,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
12,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
12,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
12,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
12,0-30,3,0.00,0.00,0,,,,,,,
12,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
12,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
12,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
12,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
12,0-30,4,0.00,0.00,0,,,,,,,
12,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
12,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
12,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
12,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
12,0-30,5,0.00,0.00,0,,,,,,,
12,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
12,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
12,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
12,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
12,0-30,6,0.00,0.00,0,,,,,,,
12,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
12,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
12,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
12,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
12,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
12,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
12,0-30,8-5@427.2-10015@30.1,0.00,0.00,1,0.00,0.00,0.00,0.208,0.040,0.048,0.003
12,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
12,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
12,0-30,8,0.00,0.00,2,0.00,0.00,0.00,0.422,0.082,0.098,0.006
12,30-60,1-5@777.9-5@820.9,1.59,5.99,1,7.43,0.56,1.00,1.042,0.203,0.242,0.015
