$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
10,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
10,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
10,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
10,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
10,0-30,1,0.00,0.00,0,,,,,,,
10,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
10,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
10,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
10,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
10,0-30,2,0.00,0.00,0,,,,,,,
10,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
10,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
10,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
10,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
10,0-30,3,0.00,0.00,0,,,,,,,
10,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
10,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
10,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
10,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
10,0-30,4,0.00,0.00,0,,,,,,,
10,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
10,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
10,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
10,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
10,0-30,5,0.00,0.00,0,,,,,,,
10,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
10,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
10,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
10,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
10,0-30,6,0.00,0.00,0,,,,,,,
10,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
10,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
10,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
10,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
10,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
10,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
10,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
10,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
10,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
10,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
10,30-60,1-5@777.9-5@820.9,3.37,13.31,0,,,,,,,
10,30-60,1-5@777.9-14@745.4,3.37,13.31,0,,,,,,,
10,30-60,1-14@698.3-14@745.4,0.00,0.00,4,0.96,0.00,0.00,0.983,0.191,0.228,0.014
10,30-60,1-14@698.3-10004@28.4,0.00,0.00,5,0.02,0.00,0.00,1.043,0.203,0.242,0.015
10,30-60,1,1.68,13.31,9,0.44,0.00,0.00,2.025,0.394,0.469,0.029
10,30-60,2-1@839.5-1@885.5,0.39,5.92,0,,,,,,,
10,30-60,2-1@839.5-10000@37.4,0.39,5.92,1,0.00,0.00,0.00,0.218,0.042,0.051,0.003
10,30-60,2-14@803.9-14@847.3,0.88,5.79,2,6.19,1.35,0.50,1.154,0.225,0.267,0.017
10,30-60,2-14@803.9-10001@24.3,0.88,5.79,1,0.00,0.00,0.00,0.140,0.027,0.032,0.002
10,30-60,2,0.64,5.92,4,3.09,0.67,0.25,1.526,0.297,0.354,0.022
10,30-60,3-4@325.6-4@367.6,0.00,0.00,5,0.61,0.00,0.00,1.160,0.226,0.269,0.017
10,30-60,3-4@325.6-10007@31.1,0.00,0.00,6,1.18,0.00,0.00,1.364,0.265,0.316,0.020
10,30-60,3-14@905.4-14@945.6,1.40,6.02,0,,,,,,,
10,30-60,3-14@905.4-10006@28.4,1.40,6.02,0,,,,,,,
10,30-60,3,0.70,6.02,11,0.92,0.00,0.00,2.523,0.491,0.585,0.036
10,30-60,4-14@1018.5-14@1056.3,0.74,5.64,2,5.17,1.33,0.50,1.151,0.224,0.267,0.016
10,30-60,4-14@1018.5-10016@30.7,0.74,5.64,2,2.97,0.00,0.00,0.427,0.083,0.099,0.006
10,30-60,4-15@605.8-15@651.4,0.42,6.79,3,0.00,0.00,0.00,0.680,0.132,0.158,0.010
10,30-60,4-15@605.8-10017@29.2,0.42,6.79,2,0.00,0.00,0.00,0.425,0.083,0.098,0.006
10,30-60,4,0.58,6.79,9,1.81,0.30,0.11,2.694,0.524,0.624,0.039
10,30-60,5-6@771.4-6@812.3,0.00,0.00,2,0.10,0.00,0.00,0.448,0.087,0.104,0.006
10,30-60,5-6@771.4-10008@26.8,0.00,0.00,3,0.29,0.00,0.00,0.632,0.123,0.146,0.009
10,30-60,5-15@917.1-15@953.7,0.80,13.32,0,,,,,,,
10,30-60,5-15@917.1-10009@26.6,0.80,13.32,0,,,,,,,
10,30-60,5,0.40,13.32,5,0.22,0.00,0.00,1.080,0.210,0.250,0.015
10,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
10,30-60,6-4@647.9-10011@22.3,0.00,0.00,2,0.79,0.00,0.00,0.419,0.082,0.097,0.006
10,30-60,6-6@878.0-6@917.5,0.40,6.09,0,,,,,,,
10,30-60,6-6@878.0-10010@26.4,0.40,6.09,0,,,,,,,
10,30-60,6,0.20,6.09,2,0.79,0.00,0.00,0.419,0.082,0.097,0.006
10,30-60,7-1@504.8-1@548.8,0.00,0.00,3,0.00,0.00,0.00,0.670,0.130,0.155,0.010
10,30-60,7-1@504.8-10013@33.6,0.00,0.00,4,0.21,0.00,0.00,0.895,0.174,0.207,0.013
10,30-60,7-6@983.5-6@1021.9,0.54,5.77,0,,,,,,,
10,30-60,7-6@983.5-10012@22.9,0.54,5.77,0,,,,,,,
10,30-60,7,0.27,5.77,7,0.12,0.00,0.00,1.564,0.304,0.363,0.022
10,30-60,8-5@427.2-5@466.3,1.55,12.49,6,0.11,0.00,0.00,1.330,0.259,0.308,0.019
10,30-60,8-5@427.2-10015@30.1,1.55,12.49,6,0.02,0.00,0.00,1.261,0.245,0.292,0.018
10,30-60,8-6@1086.4-6@1124.9,1.07,6.41,2,5.19,2.03,0.50,1.069,0.208,0.248,0.015
10,30-60,8-6@1086.4-10014@25.1,1.07,6.41,1,8.98,0.00,0.00,0.270,0.052,0.062,0.004
10,30-60,8,1.31,12.49,15,1.34,0.27,0.07,3.989,0.776,0.924,0.057
10,60-90,1-5@777.9-5@820.9,6.17,14.29,4,11.98,4.25,0.50,2.931,0.570,0.679,0.042
10,60-90,1-5@777.9-14@745.4,6.17,14.29,3,15.40,6.71,0.67,2.589,0.504,0.600,0.037
10,60-90,1-14@698.3-14@745.4,0.82,6.51,5,3.41,0.00,0.20,2.058,0.400,0.477,0.029
10,60-90,1-14@698.3-10004@28.4,0.82,6.51,7,2.98,0.00,0.00,1.756,0.342,0.407,0.025
10,60-90,1,3.50,14.29,19,6.95,1.95,0.26,9.389,1.827,2.176,0.134
10,60-90,2-1@839.5-1@885.5,3.39,14.27,3,5.18,0.85,0.33,1.600,0.311,0.371,0.023
10,60-90,2-1@839.5-10000@37.4,3.39,14.27,0,,,,,,,
10,60-90,2-14@803.9-14@847.3,0.80,6.11,4,4.10,0.00,0.25,1.513,0.294,0.351,0.022
10,60-90,2-14@803.9-10001@24.3,0.80,6.11,4,2.43,0.00,0.00,0.686,0.133,0.159,0.010
10,60-90,2,2.10,14.27,11,3.79,0.23,0.18,3.795,0.738,0.880,0.054
10,60-90,3-4@325.6-4@367.6,1.09,6.54,7,1.43,0.00,0.00,1.695,0.330,0.393,0.024
10,60-90,3-4@325.6-10007@31.1,1.09,6.54,5,3.25,0.81,0.20,1.930,0.376,0.447,0.028
10,60-90,3-14@905.4-14@945.6,5.37,12.55,1,15.06,5.10,2.00,1.551,0.302,0.360,0.022
10,60-90,3-14@905.4-10006@28.4,5.37,12.55,2,21.30,13.58,1.50,3.111,0.605,0.721,0.045
10,60-90,3,3.23,12.55,15,5.59,2.42,0.40,8.213,1.598,1.904,0.118
10,60-90,4-14@1018.5-14@1056.3,4.26,11.75,2,20.07,9.60,2.00,3.846,0.748,0.891,0.055
10,60-90,4-14@1018.5-10016@30.7,4.26,11.75,4,2.85,0.00,0.00,0.855,0.166,0.198,0.012
10,60-90,4-15@605.8-15@651.4,3.44,19.45,3,4.24,0.00,0.00,0.864,0.168,0.200,0.012
10,60-90,4-15@605.8-10017@29.2,3.44,19.45,6,4.98,0.72,0.17,2.373,0.462,0.550,0.034
10,60-90,4,3.85,19.45,15,6.28,1.57,0.33,7.687,1.496,1.781,0.110
10,60-90,5-6@771.4-6@812.3,0.22,6.60,7,3.77,0.01,0.14,2.562,0.499,0.594,0.037
10,60-90,5-6@771.4-10008@26.8,0.22,6.60,6,1.66,0.00,0.00,1.364,0.265,0.316,0.020
10,60-90,5-15@917.1-15@953.7,5.36,11.26,2,5.50,0.00,0.00,0.582,0.113,0.135,0.008
10,60-90,5-15@917.1-10009@26.6,5.36,11.26,3,15.83,7.81,1.33,3.970,0.772,0.920,0.057
10,60-90,5,2.79,11.26,18,5.27,1.30,0.28,8.434,1.641,1.955,0.121
10,60-90,6-4@647.9-4@688.0,2.35,11.82,2,0.16,0.00,0.00,0.457,0.089,0.106,0.007
10,60-90,6-4@647.9-10011@22.3,2.35,11.82,1,0.03,0.00,0.00,0.194,0.038,0.045,0.003
10,60-90,6-6@878.0-6@917.5,4.77,13.15,4,11.50,4.17,0.75,3.260,0.634,0.756,0.047
10,60-90,6-6@878.0-10010@26.4,4.77,13.15,5,7.54,4.24,0.40,2.544,0.495,0.590,0.036
10,60-90,6,3.56,13.15,12,7.01,3.16,0.42,6.438,1.253,1.492,0.092
10,60-90,7-1@504.8-1@548.8,0.79,6.37,7,1.58,0.27,0.29,3.110,0.605,0.721,0.044
10,60-90,7-1@504.8-10013@33.6,0.79,6.37,7,1.72,0.00,0.00,1.723,0.335,0.399,0.025
10,60-90,7-6@983.5-6@1021.9,5.37,15.24,2,17.86,9.13,1.00,2.186,0.425,0.507,0.031
10,60-90,7-6@983.5-10012@22.9,5.37,15.24,1,0.00,0.00,0.00,0.142,0.028,0.033,0.002
10,60-90,7,3.08,15.24,17,3.46,1.19,0.24,7.101,1.382,1.646,0.102
10,60-90,8-5@427.2-5@466.3,3.75,15.05,2,13.55,3.18,2.00,3.511,0.683,0.814,0.050
10,60-90,8-5@427.2-10015@30.1,3.75,15.05,3,4.00,1.54,0.33,1.425,0.277,0.330,0.020
10,60-90,8-6@1086.4-6@1124.9,0.98,5.87,4,3.06,1.02,0.25,1.473,0.287,0.341,0.021
10,60-90,8-6@1086.4-10014@25.1,0.98,5.87,4,3.49,0.00,0.00,0.778,0.151,0.180,0.011
10,60-90,8,2.36,15.05,13,5.02,1.16,0.46,7.156,1.392,1.659,0.102
10,90-120,1-5@777.9-5@820.9,5.77,13.71,2,11.46,2.81,0.50,1.429,0.278,0.331,0.020
10,90-120,1-5@777.9-14@745.4,5.77,13.71,4,19.77,9.80,1.00,4.664,0.907,1.081,0.067
10,90-120,1-14@698.3-14@745.4,2.29,15.45,9,7.29,0.08,0.22,4.336,0.844,1.005,0.062
10,90-120,1-14@698.3-10004@28.4,2.29,15.45,9,4.75,0.00,0.00,2.513,0.489,0.582,0.036
10,90-120,1,4.03,15.45,24,8.76,1.90,0.29,12.871,2.504,2.983,0.184
10,90-120,2-1@839.5-1@885.5,5.71,14.23,3,10.02,0.71,0.33,1.854,0.361,0.430,0.027
10,90-120,2-1@839.5-10000@37.4,5.71,14.23,3,11.30,4.21,0.67,2.527,0.492,0.586,0.036
10,90-120,2-14@803.9-14@847.3,1.48,13.55,4,7.51,0.48,0.75,3.049,0.593,0.707,0.044
10,90-120,2-14@803.9-10001@24.3,1.48,13.55,7,2.05,0.00,0.00,1.160,0.226,0.269,0.017
10,90-120,2,3.60,14.23,17,6.37,0.98,0.35,8.614,1.676,1.996,0.123
10,90-120,3-4@325.6-4@367.6,1.23,12.68,8,6.35,0.78,0.38,4.558,0.887,1.056,0.065
10,90-120,3-4@325.6-10007@31.1,1.23,12.68,8,6.34,0.20,0.13,3.069,0.597,0.711,0.044
10,90-120,3-14@905.4-14@945.6,7.10,19.92,2,12.70,3.22,0.50,1.294,0.252,0.300,0.019
10,90-120,3-14@905.4-10006@28.4,7.10,19.92,3,9.68,2.37,0.67,2.090,0.407,0.484,0.030
10,90-120,3,4.17,19.92,21,7.42,1.02,0.33,11.014,2.143,2.553,0.158
10,90-120,4-14@1018.5-14@1056.3,2.32,15.42,4,4.26,0.19,0.50,2.180,0.424,0.505,0.031
10,90-120,4-14@1018.5-10016@30.7,2.32,15.42,3,3.61,0.00,0.00,0.673,0.131,0.156,0.010
10,90-120,4-15@605.8-15@651.4,8.04,24.37,9,9.89,2.30,0.56,6.728,1.309,1.559,0.096
10,90-120,4-15@605.8-10017@29.2,8.04,24.37,7,14.64,3.35,1.14,8.177,1.591,1.895,0.117
10,90-120,4,5.18,24.37,23,9.54,1.95,0.65,17.729,3.449,4.109,0.254
10,90-120,5-6@771.4-6@812.3,3.78,15.64,5,5.20,0.81,0.20,2.125,0.413,0.492,0.030
10,90-120,5-6@771.4-10008@26.8,3.78,15.64,8,3.20,0.00,0.00,1.997,0.388,0.463,0.029
10,90-120,5-15@917.1-15@953.7,1.32,5.74,6,8.50,1.30,0.33,3.372,0.656,0.781,0.048
10,90-120,5-15@917.1-10009@26.6,1.32,5.74,4,9.15,2.06,0.50,2.575,0.501,0.597,0.037
10,90-120,5,2.55,15.64,23,6.05,0.87,0.22,10.122,1.969,2.346,0.145
10,90-120,6-4@647.9-4@688.0,3.18,13.01,6,6.55,1.05,0.17,2.572,0.500,0.596,0.037
10,90-120,6-4@647.9-10011@22.3,3.18,13.01,4,11.55,3.09,1.00,3.987,0.776,0.924,0.057
10,90-120,6-6@878.0-6@917.5,1.67,13.79,3,5.37,1.03,0.33,1.356,0.264,0.314,0.019
10,90-120,6-6@878.0-10010@26.4,1.67,13.79,6,2.81,0.15,0.50,3.074,0.598,0.712,0.044
10,90-120,6,2.43,13.79,19,6.24,1.20,0.47,11.141,2.168,2.582,0.159
10,90-120,7-1@504.8-1@548.8,4.33,21.98,8,6.74,1.73,0.88,7.251,1.411,1.681,0.104
10,90-120,7-1@504.8-10013@33.6,4.33,21.98,8,6.68,0.98,0.50,5.161,1.004,1.196,0.074
10,90-120,7-6@983.5-6@1021.9,4.92,19.02,3,12.04,1.07,0.67,2.398,0.467,0.556,0.034
10,90-120,7-6@983.5-10012@22.9,4.92,19.02,4,8.66,3.60,0.75,2.926,0.569,0.678,0.042
10,90-120,7,4.63,21.98,23,7.74,1.71,0.70,17.738,3.451,4.111,0.254
10,90-120,8-5@427.2-5@466.3,2.67,12.23,9,7.93,2.16,0.44,5.658,1.101,1.311,0.081
10,90-120,8-5@427.2-10015@30.1,2.67,12.23,8,8.49,1.49,0.50,5.271,1.026,1.222,0.075
10,90-120,8-6@1086.4-6@1124.9,2.15,6.15,4,6.77,2.06,0.50,2.300,0.447,0.533,0.033
10,90-120,8-6@1086.4-10014@25.1,2.15,6.15,3,6.94,0.00,0.00,0.735,0.143,0.170,0.011
10,90-120,8,2.41,12.23,24,7.80,1.65,0.42,13.964,2.717,3.236,0.200
10,120-150,1-5@777.9-5@820.9,3.89,12.27,8,10.26,1.56,0.50,5.713,1.112,1.324,0.082
10,120-150,1-5@777.9-14@745.4,3.89,12.27,5,10.96,1.45,0.40,3.160,0.615,0.732,0.045
