$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
11,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
11,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
11,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
11,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
11,0-30,1,0.00,0.00,0,,,,,,,
11,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
11,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
11,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
11,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
11,0-30,2,0.00,0.00,0,,,,,,,
11,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
11,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
11,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
11,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
11,0-30,3,0.00,0.00,0,,,,,,,
11,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
11,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
11,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
11,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
11,0-30,4,0.00,0.00,0,,,,,,,
11,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
11,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
11,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
11,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
11,0-30,5,0.00,0.00,0,,,,,,,
11,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
11,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
11,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
11,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
11,0-30,6,0.00,0.00,0,,,,,,,
11,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
11,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
11,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
11,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
11,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
11,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
11,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
11,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
11,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
11,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
11,30-60,1-5@777.9-5@820.9,3.65,12.81,0,,,,,,,
11,30-60,1-5@777.9-14@745.4,3.65,12.81,0,,,,,,,
11,30-60,1-14@698.3-14@745.4,0.00,0.00,5,1.75,0.00,0.00,1.285,0.250,0.298,0.018
11,30-60,1-14@698.3-10004@28.4,0.00,0.00,8,0.13,0.00,0.00,1.682,0.327,0.390,0.024
11,30-60,1,1.83,12.81,13,0.76,0.00,0.00,2.966,0.577,0.687,0.042
11,30-60,2-1@839.5-1@885.5,0.42,6.48,0,,,,,,,
11,30-60,2-1@839.5-10000@37.4,0.42,6.48,1,0.00,0.00,0.00,0.218,0.042,0.051,0.003
11,30-60,2-14@803.9-14@847.3,0.88,5.79,0,,,,,,,
11,30-60,2-14@803.9-10001@24.3,0.88,5.79,3,4.57,0.91,0.67,1.896,0.369,0.439,0.027
11,30-60,2,0.65,6.48,4,3.42,0.68,0.50,2.170,0.422,0.503,0.031
11,30-60,3-4@325.6-4@367.6,0.00,0.00,4,0.62,0.00,0.00,0.924,0.180,0.214,0.013
11,30-60,3-4@325.6-10007@31.1,0.00,0.00,5,0.89,0.00,0.00,1.129,0.220,0.262,0.016
11,30-60,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
11,30-60,3-14@905.4-10006@28.4,0.00,0.00,1,1.19,0.00,0.00,0.155,0.030,0.036,0.002
11,30-60,3,0.00,0.00,10,0.81,0.00,0.00,2.206,0.429,0.511,0.032
11,30-60,4-14@1018.5-14@1056.3,1.67,13.09,0,,,,,,,
11,30-60,4-14@1018.5-10016@30.7,1.67,13.09,1,0.49,0.00,0.00,0.179,0.035,0.041,0.003
11,30-60,4-15@605.8-15@651.4,0.00,0.00,4,0.10,0.00,0.00,0.909,0.177,0.211,0.013
11,30-60,4-15@605.8-10017@29.2,0.00,0.00,3,0.38,0.00,0.00,0.652,0.127,0.151,0.009
11,30-60,4,0.83,13.09,8,0.25,0.00,0.00,1.740,0.339,0.403,0.025
11,30-60,5-6@771.4-6@812.3,0.00,0.00,4,0.86,0.00,0.00,0.948,0.185,0.220,0.014
11,30-60,5-6@771.4-10008@26.8,0.00,0.00,5,0.18,0.00,0.00,1.041,0.203,0.241,0.015
11,30-60,5-15@917.1-15@953.7,0.79,13.34,0,,,,,,,
11,30-60,5-15@917.1-10009@26.6,0.79,13.34,0,,,,,,,
11,30-60,5,0.40,13.34,9,0.48,0.00,0.00,1.989,0.387,0.461,0.028
11,30-60,6-4@647.9-4@688.0,0.00,0.00,1,0.45,0.00,0.00,0.221,0.043,0.051,0.003
11,30-60,6-4@647.9-10011@22.3,0.00,0.00,2,0.35,0.00,0.00,0.406,0.079,0.094,0.006
11,30-60,6-6@878.0-6@917.5,0.60,6.08,0,,,,,,,
11,30-60,6-6@878.0-10010@26.4,0.60,6.08,0,,,,,,,
11,30-60,6,0.30,6.08,3,0.38,0.00,0.00,0.627,0.122,0.145,0.009
11,30-60,7-1@504.8-1@548.8,0.00,0.00,3,0.24,0.00,0.00,0.680,0.132,0.158,0.010
11,30-60,7-1@504.8-10013@33.6,0.00,0.00,3,0.08,0.00,0.00,0.666,0.130,0.154,0.010
11,30-60,7-6@983.5-6@1021.9,0.36,5.37,0,,,,,,,
11,30-60,7-6@983.5-10012@22.9,0.36,5.37,0,,,,,,,
11,30-60,7,0.18,5.37,6,0.16,0.00,0.00,1.346,0.262,0.312,0.019
11,30-60,8-5@427.2-5@466.3,0.58,6.14,6,0.00,0.00,0.00,1.321,0.257,0.306,0.019
11,30-60,8-5@427.2-10015@30.1,0.58,6.14,6,0.01,0.00,0.00,1.261,0.245,0.292,0.018
11,30-60,8-6@1086.4-6@1124.9,2.04,16.32,1,9.40,2.37,1.00,0.883,0.172,0.205,0.013
11,30-60,8-6@1086.4-10014@25.1,2.04,16.32,1,9.52,2.16,1.00,1.032,0.201,0.239,0.015
11,30-60,8,1.31,16.32,14,1.36,0.32,0.14,4.465,0.869,1.035,0.064
11,60-90,1-5@777.9-5@820.9,6.89,12.60,3,11.67,4.04,0.67,2.425,0.472,0.562,0.035
11,60-90,1-5@777.9-14@745.4,6.89,12.60,3,21.09,11.09,1.00,3.524,0.686,0.817,0.050
11,60-90,1-14@698.3-14@745.4,1.87,15.86,7,6.82,0.26,0.71,5.676,1.104,1.316,0.081
11,60-90,1-14@698.3-10004@28.4,1.87,15.86,14,3.51,0.10,0.14,4.954,0.964,1.148,0.071
11,60-90,1,4.38,15.86,27,7.23,1.80,0.44,16.558,3.222,3.837,0.237
11,60-90,2-1@839.5-1@885.5,1.85,14.18,2,5.40,0.21,0.50,1.342,0.261,0.311,0.019
11,60-90,2-1@839.5-10000@37.4,1.85,14.18,1,9.94,1.14,1.00,0.991,0.193,0.230,0.014
11,60-90,2-14@803.9-14@847.3,2.04,12.83,5,4.79,1.06,0.40,2.463,0.479,0.571,0.035
11,60-90,2-14@803.9-10001@24.3,2.04,12.83,3,2.72,0.00,0.00,0.527,0.103,0.122,0.008
11,60-90,2,1.94,14.18,11,4.80,0.62,0.36,5.330,1.037,1.235,0.076
11,60-90,3-4@325.6-4@367.6,0.91,15.35,6,3.24,0.27,0.17,2.294,0.446,0.532,0.033
11,60-90,3-4@325.6-10007@31.1,0.91,15.35,5,3.55,0.26,0.40,2.608,0.507,0.604,0.037
11,60-90,3-14@905.4-14@945.6,3.12,12.63,1,5.32,0.00,0.00,0.232,0.045,0.054,0.003
11,60-90,3-14@905.4-10006@28.4,3.12,12.63,2,10.54,2.54,1.00,1.886,0.367,0.437,0.027
11,60-90,3,2.02,15.35,14,4.54,0.57,0.36,7.064,1.374,1.637,0.101
11,60-90,4-14@1018.5-14@1056.3,5.68,12.22,4,13.76,7.53,0.75,3.402,0.662,0.788,0.049
11,60-90,4-14@1018.5-10016@30.7,5.68,12.22,3,13.67,3.61,1.33,3.733,0.726,0.865,0.053
11,60-90,4-15@605.8-15@651.4,1.73,15.66,4,2.29,0.00,0.00,1.042,0.203,0.242,0.015
11,60-90,4-15@605.8-10017@29.2,1.73,15.66,3,6.27,0.73,0.33,1.578,0.307,0.366,0.023
11,60-90,4,3.71,15.66,14,8.86,3.08,0.57,9.801,1.907,2.271,0.140
11,60-90,5-6@771.4-6@812.3,0.00,0.00,6,3.66,0.00,0.00,1.641,0.319,0.380,0.023
11,60-90,5-6@771.4-10008@26.8,0.00,0.00,14,0.97,0.00,0.00,3.072,0.598,0.712,0.044
11,60-90,5-15@917.1-15@953.7,7.30,12.20,2,5.97,0.08,0.50,1.282,0.249,0.297,0.018
11,60-90,5-15@917.1-10009@26.6,7.30,12.20,2,19.68,10.40,1.50,2.976,0.579,0.690,0.043
11,60-90,5,3.65,12.20,24,3.62,0.87,0.17,8.895,1.731,2.062,0.127
11,60-90,6-4@647.9-4@688.0,2.26,12.19,2,0.23,0.00,0.00,0.437,0.085,0.101,0.006
11,60-90,6-4@647.9-10011@22.3,2.26,12.19,1,0.15,0.00,0.00,0.208,0.040,0.048,0.003
11,60-90,6-6@878.0-6@917.5,8.24,28.39,4,15.29,6.15,1.50,5.307,1.033,1.230,0.076
11,60-90,6-6@878.0-10010@26.4,8.24,28.39,5,13.16,5.27,1.20,5.634,1.096,1.306,0.081
11,60-90,6,5.25,28.39,12,10.63,4.24,1.00,11.708,2.278,2.713,0.167
11,60-90,7-1@504.8-1@548.8,1.71,13.14,6,2.89,0.77,0.17,2.301,0.448,0.533,0.033
11,60-90,7-1@504.8-10013@33.6,1.71,13.14,6,4.15,0.84,0.17,2.322,0.452,0.538,0.033
11,60-90,7-6@983.5-6@1021.9,5.06,15.52,1,14.14,5.68,1.00,1.026,0.200,0.238,0.015
11,60-90,7-6@983.5-10012@22.9,5.06,15.52,2,9.79,5.50,0.50,1.205,0.235,0.279,0.017
11,60-90,7,3.39,15.52,15,5.06,1.76,0.27,6.892,1.341,1.597,0.099
11,60-90,8-5@427.2-5@466.3,1.63,6.37,3,3.83,0.49,0.33,1.482,0.288,0.343,0.021
11,60-90,8-5@427.2-10015@30.1,1.63,6.37,2,7.16,0.80,0.50,1.280,0.249,0.297,0.018
11,60-90,8-6@1086.4-6@1124.9,2.02,11.82,3,3.83,1.54,0.33,1.289,0.251,0.299,0.018
11,60-90,8-6@1086.4-10014@25.1,2.02,11.82,3,5.70,0.54,0.33,1.333,0.259,0.309,0.019
11,60-90,8,1.82,11.82,11,4.95,0.85,0.36,5.383,1.047,1.248,0.077
11,90-120,1-5@777.9-5@820.9,7.72,20.01,2,18.66,7.58,1.00,2.373,0.462,0.550,0.034
11,90-120,1-5@777.9-14@745.4,7.72,20.01,2,16.12,7.32,0.50,1.559,0.303,0.361,0.022
11,90-120,1-14@698.3-14@745.4,1.22,16.13,12,8.55,0.01,0.17,5.542,1.078,1.284,0.079
11,90-120,1-14@698.3-10004@28.4,1.22,16.13,12,6.53,0.22,0.67,8.713,1.695,2.019,0.125
11,90-120,1,4.47,20.01,28,8.95,1.16,0.46,18.180,3.537,4.213,0.260
11,90-120,2-1@839.5-1@885.5,7.22,13.53,3,8.38,0.38,0.67,2.497,0.486,0.579,0.036
11,90-120,2-1@839.5-10000@37.4,7.22,13.53,2,13.75,6.33,1.00,2.150,0.418,0.498,0.031
11,90-120,2-14@803.9-14@847.3,0.46,6.98,4,3.31,0.00,0.00,0.840,0.163,0.195,0.012
11,90-120,2-14@803.9-10001@24.3,0.46,6.98,11,1.62,0.00,0.00,1.759,0.342,0.408,0.025
11,90-120,2,3.84,13.53,20,4.19,0.69,0.20,7.137,1.389,1.654,0.102
11,90-120,3-4@325.6-4@367.6,1.25,6.48,7,2.73,0.00,0.00,1.834,0.357,0.425,0.026
11,90-120,3-4@325.6-10007@31.1,1.25,6.48,7,5.29,0.60,0.29,3.349,0.652,0.776,0.048
11,90-120,3-14@905.4-14@945.6,6.03,13.56,2,9.64,4.56,0.50,1.259,0.245,0.292,0.018
11,90-120,3-14@905.4-10006@28.4,6.03,13.56,3,7.03,2.58,0.67,1.955,0.380,0.453,0.028
11,90-120,3,3.64,13.56,19,5.08,1.11,0.26,8.436,1.641,1.955,0.121
11,90-120,4-14@1018.5-14@1056.3,3.82,13.30,3,7.79,0.18,0.33,1.518,0.295,0.352,0.022
11,90-120,4-14@1018.5-10016@30.7,3.82,13.30,3,7.02,2.21,0.33,1.476,0.287,0.342,0.021
11,90-120,4-15@605.8-15@651.4,2.97,20.55,7,10.49,1.92,1.00,7.457,1.451,1.728,0.107
11,90-120,4-15@605.8-10017@29.2,2.97,20.55,6,8.99,0.74,1.17,6.789,1.321,1.573,0.097
11,90-120,4,3.40,20.55,19,9.05,1.32,0.84,17.181,3.343,3.982,0.246
