$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
5,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
5,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
5,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
5,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
5,0-30,1,0.00,0.00,0,,,,,,,
5,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
5,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
5,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
5,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
5,0-30,2,0.00,0.00,0,,,,,,,
5,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
5,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
5,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
5,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
5,0-30,3,0.00,0.00,0,,,,,,,
5,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
5,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
5,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
5,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
5,0-30,4,0.00,0.00,0,,,,,,,
5,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
5,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
5,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
5,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
5,0-30,5,0.00,0.00,0,,,,,,,
5,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
5,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
5,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
5,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
5,0-30,6,0.00,0.00,0,,,,,,,
5,0-30,7-1@504.8-1@548.8,0.00,0.00,0,,,,,,,
5,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
5,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
5,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
5,0-30,7,0.00,0.00,0,,,,,,,
5,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.216,0.042,0.050,0.003
5,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
5,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
5,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
5,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.216,0.042,0.050,0.003
5,30-60,1-5@777.9-5@820.9,1.56,12.56,0,,,,,,,
5,30-60,1-5@777.9-14@745.4,1.56,12.56,1,8.83,0.00,0.00,0.342,0.067,0.079,0.005
5,30-60,1-14@698.3-14@745.4,0.00,0.00,2,0.37,0.00,0.00,0.475,0.092,0.110,0.007
5,30-60,1-14@698.3-10004@28.4,0.00,0.00,3,0.00,0.00,0.00,0.636,0.124,0.147,0.009
5,30-60,1,0.78,12.56,6,1.59,0.00,0.00,1.453,0.283,0.337,0.021
5,30-60,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
5,30-60,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
5,30-60,2-14@803.9-14@847.3,0.18,5.40,1,1.99,0.00,0.00,0.193,0.038,0.045,0.003
5,30-60,2-14@803.9-10001@24.3,0.18,5.40,0,,,,,,,
5,30-60,2,0.09,5.40,1,1.99,0.00,0.00,0.193,0.038,0.045,0.003
5,30-60,3-4@325.6-4@367.6,0.00,0.00,7,0.10,0.00,0.00,1.558,0.303,0.361,0.022
5,30-60,3-4@325.6-10007@31.1,0.00,0.00,7,0.27,0.00,0.00,1.516,0.295,0.351,0.022
5,30-60,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
5,30-60,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
5,30-60,3,0.00,0.00,14,0.19,0.00,0.00,3.074,0.598,0.712,0.044
5,30-60,4-14@1018.5-14@1056.3,2.77,12.36,2,11.71,3.00,1.00,1.926,0.375,0.446,0.028
5,30-60,4-14@1018.5-10016@30.7,2.77,12.36,2,8.20,0.00,0.00,0.571,0.111,0.132,0.008
5,30-60,4-15@605.8-15@651.4,1.32,15.13,6,0.15,0.00,0.00,1.371,0.267,0.318,0.020
5,30-60,4-15@605.8-10017@29.2,1.32,15.13,4,0.13,0.00,0.00,0.856,0.167,0.198,0.012
5,30-60,4,2.04,15.13,14,2.94,0.43,0.14,4.827,0.939,1.119,0.069
5,30-60,5-6@771.4-6@812.3,0.00,0.00,2,1.32,0.00,0.00,0.475,0.092,0.110,0.007
5,30-60,5-6@771.4-10008@26.8,0.00,0.00,3,0.19,0.00,0.00,0.622,0.121,0.144,0.009
5,30-60,5-15@917.1-15@953.7,1.18,13.58,0,,,,,,,
5,30-60,5-15@917.1-10009@26.6,1.18,13.58,0,,,,,,,
5,30-60,5,0.59,13.58,5,0.64,0.00,0.00,1.097,0.213,0.254,0.016
5,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
5,30-60,6-4@647.9-10011@22.3,0.00,0.00,1,0.00,0.00,0.00,0.194,0.038,0.045,0.003
5,30-60,6-6@878.0-6@917.5,0.00,0.00,1,4.55,0.00,0.00,0.227,0.044,0.053,0.003
5,30-60,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
5,30-60,6,0.00,0.00,2,2.28,0.00,0.00,0.421,0.082,0.098,0.006
5,30-60,7-1@504.8-1@548.8,0.00,0.00,4,0.89,0.00,0.00,0.960,0.187,0.223,0.014
5,30-60,7-1@504.8-10013@33.6,0.00,0.00,3,0.29,0.00,0.00,0.671,0.131,0.156,0.010
5,30-60,7-6@983.5-6@1021.9,0.55,5.51,0,,,,,,,
5,30-60,7-6@983.5-10012@22.9,0.55,5.51,0,,,,,,,
5,30-60,7,0.27,5.51,7,0.63,0.00,0.00,1.631,0.317,0.378,0.023
5,30-60,8-5@427.2-5@466.3,0.00,0.00,7,0.73,0.00,0.00,1.590,0.309,0.369,0.023
5,30-60,8-5@427.2-10015@30.1,0.00,0.00,8,0.00,0.00,0.00,1.690,0.329,0.392,0.024
5,30-60,8-6@1086.4-6@1124.9,0.38,5.90,1,6.87,0.13,1.00,0.933,0.182,0.216,0.013
5,30-60,8-6@1086.4-10014@25.1,0.38,5.90,0,,,,,,,
5,30-60,8,0.19,5.90,16,0.75,0.01,0.06,4.204,0.818,0.974,0.060
