$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
21,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
21,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
21,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
21,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
21,0-30,1,0.00,0.00,0,,,,,,,
21,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
21,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
21,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
21,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
21,0-30,2,0.00,0.00,0,,,,,,,
21,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
21,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
21,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
21,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
21,0-30,3,0.00,0.00,0,,,,,,,
21,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
21,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
21,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
21,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
21,0-30,4,0.00,0.00,0,,,,,,,
21,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
21,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
21,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
21,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
21,0-30,5,0.00,0.00,0,,,,,,,
21,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
21,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
21,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
21,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
21,0-30,6,0.00,0.00,0,,,,,,,
21,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
21,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
21,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
21,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
21,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
21,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
21,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
21,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
21,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
21,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
21,30-60,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
21,30-60,1-5@777.9-14@745.4,0.00,0.00,1,2.06,0.00,0.00,0.244,0.048,0.057,0.003
21,30-60,1-14@698.3-14@745.4,5.29,19.53,1,0.00,0.00,0.00,0.226,0.044,0.052,0.003
21,30-60,1-14@698.3-10004@28.4,5.29,19.53,1,0.00,0.00,0.00,0.209,0.041,0.048,0.003
21,30-60,1,2.65,19.53,3,0.69,0.00,0.00,0.679,0.132,0.157,0.010
21,30-60,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
21,30-60,2-1@839.5-10000@37.4,0.00,0.00,1,1.91,0.00,0.00,0.245,0.048,0.057,0.004
21,30-60,2-14@803.9-14@847.3,0.98,5.95,1,0.00,0.00,0.00,0.157,0.030,0.036,0.002
21,30-60,2-14@803.9-10001@24.3,0.98,5.95,0,,,,,,,
21,30-60,2,0.49,5.95,2,0.95,0.00,0.00,0.402,0.078,0.093,0.006
21,30-60,3-4@325.6-4@367.6,5.08,12.83,3,15.00,3.70,0.67,2.654,0.516,0.615,0.038
21,30-60,3-4@325.6-10007@31.1,5.08,12.83,4,7.63,1.18,0.50,2.568,0.500,0.595,0.037
21,30-60,3-14@905.4-14@945.6,2.24,11.69,0,,,,,,,
21,30-60,3-14@905.4-10006@28.4,2.24,11.69,0,,,,,,,
21,30-60,3,3.66,12.83,7,10.79,2.26,0.57,5.211,1.014,1.208,0.075
21,30-60,4-14@1018.5-14@1056.3,0.58,6.21,0,,,,,,,
21,30-60,4-14@1018.5-10016@30.7,0.58,6.21,0,,,,,,,
21,30-60,4-15@605.8-15@651.4,2.45,12.34,4,7.08,1.16,0.50,2.653,0.516,0.615,0.038
21,30-60,4-15@605.8-10017@29.2,2.45,12.34,4,4.16,1.39,0.25,1.774,0.345,0.411,0.025
21,30-60,4,1.52,12.34,8,5.62,1.28,0.38,4.441,0.864,1.029,0.064
21,30-60,5-6@771.4-6@812.3,3.69,19.02,0,,,,,,,
21,30-60,5-6@771.4-10008@26.8,3.69,19.02,0,,,,,,,
21,30-60,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
21,30-60,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
21,30-60,5,1.85,19.02,0,,,,,,,
21,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
21,30-60,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
21,30-60,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
21,30-60,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
21,30-60,6,0.00,0.00,0,,,,,,,
21,30-60,7-1@504.8-1@548.8,2.93,12.58,4,5.31,1.51,0.25,1.887,0.367,0.437,0.027
21,30-60,7-1@504.8-10013@33.6,2.93,12.58,3,9.83,3.75,0.67,2.369,0.461,0.549,0.034
21,30-60,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
21,30-60,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
21,30-60,7,1.47,12.58,7,7.25,2.47,0.43,4.287,0.834,0.994,0.061
21,30-60,8-5@427.2-5@466.3,6.74,20.18,5,12.58,4.65,0.60,3.872,0.753,0.897,0.055
21,30-60,8-5@427.2-10015@30.1,6.74,20.18,7,8.43,2.50,0.43,4.324,0.841,1.002,0.062
21,30-60,8-6@1086.4-6@1124.9,1.11,15.04,0,,,,,,,
21,30-60,8-6@1086.4-10014@25.1,1.11,15.04,0,,,,,,,
21,30-60,8,3.93,20.18,12,10.16,3.40,0.50,8.218,1.599,1.905,0.118
21,60-90,1-5@777.9-5@820.9,0.37,5.53,4,5.32,0.16,0.25,1.872,0.364,0.434,0.027
21,60-90,1-5@777.9-14@745.4,0.37,5.53,3,7.19,0.20,0.33,1.582,0.308,0.367,0.023
21,60-90,1-14@698.3-14@745.4,10.34,28.19,5,12.02,4.19,0.80,4.598,0.895,1.066,0.066
21,60-90,1-14@698.3-10004@28.4,10.34,28.19,7,9.67,3.01,0.57,5.144,1.001,1.192,0.074
21,60-90,1,5.35,28.19,19,8.98,2.27,0.53,13.189,2.566,3.057,0.189
21,60-90,2-1@839.5-1@885.5,1.18,6.45,2,9.96,1.51,0.50,1.472,0.286,0.341,0.021
21,60-90,2-1@839.5-10000@37.4,1.18,6.45,2,9.79,1.84,0.50,1.368,0.266,0.317,0.020
21,60-90,2-14@803.9-14@847.3,2.49,12.83,2,0.12,0.00,0.00,0.328,0.064,0.076,0.005
21,60-90,2-14@803.9-10001@24.3,2.49,12.83,3,3.55,1.16,0.33,1.241,0.241,0.288,0.018
21,60-90,2,1.84,12.83,9,5.60,1.13,0.33,4.358,0.848,1.010,0.062
21,60-90,3-4@325.6-4@367.6,16.86,39.20,6,19.15,7.95,1.17,7.499,1.459,1.738,0.107
21,60-90,3-4@325.6-10007@31.1,16.86,39.20,6,19.01,6.24,1.00,7.104,1.382,1.647,0.102
21,60-90,3-14@905.4-14@945.6,4.33,12.40,1,11.94,3.43,1.00,1.075,0.209,0.249,0.015
21,60-90,3-14@905.4-10006@28.4,4.33,12.40,1,13.62,6.65,1.00,1.063,0.207,0.246,0.015
21,60-90,3,10.59,39.20,14,18.18,6.80,1.07,16.769,3.263,3.886,0.240
21,60-90,4-14@1018.5-14@1056.3,0.54,5.80,2,4.63,0.37,1.00,1.972,0.384,0.457,0.028
