$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
15,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
15,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
15,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
15,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
15,0-30,1,0.00,0.00,0,,,,,,,
15,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
15,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
15,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
15,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
15,0-30,2,0.00,0.00,0,,,,,,,
15,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
15,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
15,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
15,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
15,0-30,3,0.00,0.00,0,,,,,,,
15,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
15,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
15,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
15,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
15,0-30,4,0.00,0.00,0,,,,,,,
15,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
15,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
15,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
15,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
15,0-30,5,0.00,0.00,0,,,,,,,
15,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
15,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
15,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
15,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
15,0-30,6,0.00,0.00,0,,,,,,,
15,0-30,7-1@504.8-1@548.8,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
15,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
15,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
15,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
15,0-30,7,0.00,0.00,1,0.00,0.00,0.00,0.220,0.043,0.051,0.003
15,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
15,0-30,8-5@427.2-10015@30.1,0.00,0.00,0,,,,,,,
15,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
15,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
15,0-30,8,0.00,0.00,1,0.00,0.00,0.00,0.215,0.042,0.050,0.003
15,30-60,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
15,30-60,1-5@777.9-14@745.4,0.00,0.00,1,1.01,0.00,0.00,0.229,0.045,0.053,0.003
15,30-60,1-14@698.3-14@745.4,8.30,27.79,1,0.00,0.00,0.00,0.226,0.044,0.052,0.003
15,30-60,1-14@698.3-10004@28.4,8.30,27.79,1,0.00,0.00,0.00,0.209,0.041,0.048,0.003
15,30-60,1,4.15,27.79,3,0.34,0.00,0.00,0.664,0.129,0.154,0.010
15,30-60,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
15,30-60,2-1@839.5-10000@37.4,0.00,0.00,1,1.67,0.00,0.00,0.242,0.047,0.056,0.003
15,30-60,2-14@803.9-14@847.3,0.97,5.91,1,0.00,0.00,0.00,0.157,0.030,0.036,0.002
15,30-60,2-14@803.9-10001@24.3,0.97,5.91,0,,,,,,,
15,30-60,2,0.49,5.91,2,0.83,0.00,0.00,0.399,0.078,0.092,0.006
15,30-60,3-4@325.6-4@367.6,2.53,12.82,1,18.26,6.07,1.00,1.172,0.228,0.272,0.017
15,30-60,3-4@325.6-10007@31.1,2.53,12.82,3,6.59,0.68,0.33,1.599,0.311,0.371,0.023
15,30-60,3-14@905.4-14@945.6,2.48,12.35,0,,,,,,,
15,30-60,3-14@905.4-10006@28.4,2.48,12.35,0,,,,,,,
15,30-60,3,2.51,12.82,4,9.50,2.03,0.50,2.768,0.539,0.642,0.040
15,30-60,4-14@1018.5-14@1056.3,0.97,11.61,0,,,,,,,
15,30-60,4-14@1018.5-10016@30.7,0.97,11.61,0,,,,,,,
15,30-60,4-15@605.8-15@651.4,1.61,11.17,3,6.44,1.14,0.33,1.640,0.319,0.380,0.023
15,30-60,4-15@605.8-10017@29.2,1.61,11.17,2,6.07,2.07,0.50,1.253,0.244,0.290,0.018
15,30-60,4,1.29,11.61,5,6.30,1.51,0.40,2.898,0.564,0.672,0.041
15,30-60,5-6@771.4-6@812.3,4.79,25.62,0,,,,,,,
15,30-60,5-6@771.4-10008@26.8,4.79,25.62,0,,,,,,,
15,30-60,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
15,30-60,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
15,30-60,5,2.39,25.62,0,,,,,,,
15,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
15,30-60,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
15,30-60,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
15,30-60,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
15,30-60,6,0.00,0.00,0,,,,,,,
15,30-60,7-1@504.8-1@548.8,0.85,6.46,2,5.00,0.00,0.50,1.275,0.248,0.296,0.018
15,30-60,7-1@504.8-10013@33.6,0.85,6.46,2,8.74,1.19,0.50,1.354,0.263,0.314,0.019
15,30-60,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
15,30-60,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
15,30-60,7,0.42,6.46,4,6.87,0.60,0.50,2.629,0.511,0.609,0.038
15,30-60,8-5@427.2-5@466.3,4.55,13.98,4,8.21,2.89,0.50,2.583,0.503,0.599,0.037
15,30-60,8-5@427.2-10015@30.1,4.55,13.98,5,8.40,3.75,0.40,2.979,0.580,0.690,0.043
15,30-60,8-6@1086.4-6@1124.9,1.11,15.01,0,,,,,,,
15,30-60,8-6@1086.4-10014@25.1,1.11,15.01,0,,,,,,,
15,30-60,8,2.83,15.01,9,8.32,3.37,0.44,5.571,1.084,1.291,0.080
15,60-90,1-5@777.9-5@820.9,0.36,5.50,3,7.40,0.21,0.33,1.664,0.324,0.386,0.024
