$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
5,0-30,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
5,0-30,1-5@777.9-14@745.4,0.00,0.00,0,,,,,,,
5,0-30,1-14@698.3-14@745.4,0.00,0.00,0,,,,,,,
5,0-30,1-14@698.3-10004@28.4,0.00,0.00,0,,,,,,,
5,0-30,1,0.00,0.00,0,,,,,,,
5,0-30,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
5,0-30,2-1@839.5-10000@37.4,0.00,0.00,0,,,,,,,
5,0-30,2-14@803.9-14@847.3,0.00,0.00,0,,,,,,,
5,0-30,2-14@803.9-10001@24.3,0.00,0.00,0,,,,,,,
5,0-30,2,0.00,0.00,0,,,,,,,
5,0-30,3-4@325.6-4@367.6,0.00,0.00,0,,,,,,,
5,0-30,3-4@325.6-10007@31.1,0.00,0.00,0,,,,,,,
5,0-30,3-14@905.4-14@945.6,0.00,0.00,0,,,,,,,
5,0-30,3-14@905.4-10006@28.4,0.00,0.00,0,,,,,,,
5,0-30,3,0.00,0.00,0,,,,,,,
5,0-30,4-14@1018.5-14@1056.3,0.00,0.00,0,,,,,,,
5,0-30,4-14@1018.5-10016@30.7,0.00,0.00,0,,,,,,,
5,0-30,4-15@605.8-15@651.4,0.00,0.00,0,,,,,,,
5,0-30,4-15@605.8-10017@29.2,0.00,0.00,0,,,,,,,
5,0-30,4,0.00,0.00,0,,,,,,,
5,0-30,5-6@771.4-6@812.3,0.00,0.00,0,,,,,,,
5,0-30,5-6@771.4-10008@26.8,0.00,0.00,0,,,,,,,
5,0-30,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
5,0-30,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
5,0-30,5,0.00,0.00,0,,,,,,,
5,0-30,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
5,0-30,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
5,0-30,6-6@878.0-6@917.5,0.00,0.00,0,,,,,,,
5,0-30,6-6@878.0-10010@26.4,0.00,0.00,0,,,,,,,
5,0-30,6,0.00,0.00,0,,,,,,,
5,0-30,7-1@504.8-1@548.8,0.00,0.00,0,,,,,,,
5,0-30,7-1@504.8-10013@33.6,0.00,0.00,0,,,,,,,
5,0-30,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
5,0-30,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
5,0-30,7,0.00,0.00,0,,,,,,,
5,0-30,8-5@427.2-5@466.3,0.00,0.00,1,0.00,0.00,0.00,0.217,0.042,0.050,0.003
5,0-30,8-5@427.2-10015@30.1,0.00,0.00,1,0.00,0.00,0.00,0.216,0.042,0.050,0.003
5,0-30,8-6@1086.4-6@1124.9,0.00,0.00,0,,,,,,,
5,0-30,8-6@1086.4-10014@25.1,0.00,0.00,0,,,,,,,
5,0-30,8,0.00,0.00,2,0.00,0.00,0.00,0.433,0.084,0.100,0.006
5,30-60,1-5@777.9-5@820.9,0.00,0.00,0,,,,,,,
5,30-60,1-5@777.9-14@745.4,0.00,0.00,2,2.46,0.00,0.00,0.511,0.099,0.118,0.007
5,30-60,1-14@698.3-14@745.4,3.73,21.24,0,,,,,,,
5,30-60,1-14@698.3-10004@28.4,3.73,21.24,0,,,,,,,
5,30-60,1,1.87,21.24,2,2.46,0.00,0.00,0.511,0.099,0.118,0.007
5,30-60,2-1@839.5-1@885.5,0.00,0.00,0,,,,,,,
5,30-60,2-1@839.5-10000@37.4,0.00,0.00,1,0.91,0.00,0.00,0.233,0.045,0.054,0.003
5,30-60,2-14@803.9-14@847.3,0.88,5.54,0,,,,,,,
5,30-60,2-14@803.9-10001@24.3,0.88,5.54,0,,,,,,,
5,30-60,2,0.44,5.54,1,0.91,0.00,0.00,0.233,0.045,0.054,0.003
5,30-60,3-4@325.6-4@367.6,4.72,14.10,4,9.01,3.20,0.75,3.521,0.685,0.816,0.050
5,30-60,3-4@325.6-10007@31.1,4.72,14.10,4,9.30,4.05,0.50,2.685,0.522,0.622,0.038
5,30-60,3-14@905.4-14@945.6,1.05,6.28,0,,,,,,,
5,30-60,3-14@905.4-10006@28.4,1.05,6.28,0,,,,,,,
5,30-60,3,2.88,14.10,8,9.15,3.62,0.63,6.174,1.201,1.431,0.088
5,30-60,4-14@1018.5-14@1056.3,0.86,15.12,0,,,,,,,
5,30-60,4-14@1018.5-10016@30.7,0.86,15.12,0,,,,,,,
5,30-60,4-15@605.8-15@651.4,1.43,14.11,5,5.85,0.52,0.40,2.891,0.563,0.670,0.041
5,30-60,4-15@605.8-10017@29.2,1.43,14.11,4,4.65,0.16,0.25,1.741,0.339,0.403,0.025
5,30-60,4,1.15,15.12,9,5.31,0.36,0.33,4.613,0.898,1.069,0.066
5,30-60,5-6@771.4-6@812.3,1.65,5.93,1,0.00,0.00,0.00,0.218,0.042,0.051,0.003
5,30-60,5-6@771.4-10008@26.8,1.65,5.93,1,0.00,0.00,0.00,0.198,0.039,0.046,0.003
5,30-60,5-15@917.1-15@953.7,0.00,0.00,0,,,,,,,
5,30-60,5-15@917.1-10009@26.6,0.00,0.00,0,,,,,,,
5,30-60,5,0.82,5.93,2,0.00,0.00,0.00,0.416,0.081,0.097,0.006
5,30-60,6-4@647.9-4@688.0,0.00,0.00,0,,,,,,,
5,30-60,6-4@647.9-10011@22.3,0.00,0.00,0,,,,,,,
5,30-60,6-6@878.0-6@917.5,1.41,5.33,0,,,,,,,
5,30-60,6-6@878.0-10010@26.4,1.41,5.33,0,,,,,,,
5,30-60,6,0.70,5.33,0,,,,,,,
5,30-60,7-1@504.8-1@548.8,8.26,25.43,6,8.97,1.95,0.67,4.907,0.955,1.137,0.070
5,30-60,7-1@504.8-10013@33.6,8.26,25.43,4,13.89,5.50,1.25,4.994,0.972,1.157,0.071
5,30-60,7-6@983.5-6@1021.9,0.00,0.00,0,,,,,,,
5,30-60,7-6@983.5-10012@22.9,0.00,0.00,0,,,,,,,
5,30-60,7,4.13,25.43,10,10.94,3.37,0.90,9.949,1.936,2.306,0.142
5,30-60,8-5@427.2-5@466.3,2.86,12.62,4,6.76,1.49,0.75,3.270,0.636,0.758,0.047
5,30-60,8-5@427.2-10015@30.1,2.86,12.62,3,8.02,3.38,0.33,1.636,0.318,0.379,0.023
5,30-60,8-6@1086.4-6@1124.9,1.55,15.77,0,,,,,,,
5,30-60,8-6@1086.4-10014@25.1,1.55,15.77,0,,,,,,,
5,30-60,8,2.21,15.77,7,7.30,2.30,0.57,4.899,0.953,1.135,0.070
5,60-90,1-5@777.9-5@820.9,1.60,11.83,3,3.11,0.33,0.33,1.452,0.283,0.337,0.021
5,60-90,1-5@777.9-14@745.4,1.60,11.83,2,11.45,0.50,0.50,1.507,0.293,0.349,0.022
5,60-90,1-14@698.3-14@745.4,2.88,18.67,4,9.93,0.95,1.00,4.118,0.801,0.954,0.059
