$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
85,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
85,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
85,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
85,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
85,0-30,1,0.00,0.00,0,0,,,,,,,,
85,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
85,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
85,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
85,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
85,0-30,2,0.00,0.00,0,0,,,,,,,,
85,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
85,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
85,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
85,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
85,0-30,3,0.00,0.00,0,0,,,,,,,,
85,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
85,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
85,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
85,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
85,0-30,4,0.00,0.00,0,0,,,,,,,,
85,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
85,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
85,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
85,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
85,0-30,5,0.00,0.00,0,0,,,,,,,,
85,0-30,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
85,0-30,6-4@648.1-10011@28.0,0.00,0.00,0,0,,,,,,,,
85,0-30,6-6@873.8-6@922.0,0.00,0.00,0,0,,,,,,,,
85,0-30,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
85,0-30,6,0.00,0.00,0,0,,,,,,,,
85,0-30,7-1@503.1-1@548.9,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
85,0-30,7-1@503.1-10013@36.1,0.00,0.00,0,0,,,,,,,,
85,0-30,7-6@980.0-6@1025.6,0.00,0.00,0,0,,,,,,,,
85,0-30,7-6@980.0-10012@23.9,0.00,0.00,0,0,,,,,,,,
85,0-30,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
85,0-30,7,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.225,0.044,0.052,0.003
85,0-30,8-5@423.2-5@469.0,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
85,0-30,8-5@423.2-10015@36.2,0.00,0.00,0,0,,,,,,,,
85,0-30,8-6@1083.5-6@1131.5,0.00,0.00,0,0,,,,,,,,
85,0-30,8-6@1083.5-10014@29.1,0.00,0.00,0,0,,,,,,,,
85,0-30,8,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.227,0.044,0.053,0.003
85,30-60,1-5@775.8-5@820.6,0.00,0.00,1,1,1.28,1.28,0.00,0.00,0.250,0.049,0.058,0.004
85,30-60,1-5@775.8-10005@28.0,0.00,0.00,1,1,5.84,5.84,0.00,0.00,0.296,0.058,0.069,0.004
85,30-60,1-14@693.2-14@738.8,0.00,0.00,3,3,2.34,2.34,0.00,0.00,0.790,0.154,0.183,0.011
85,30-60,1-14@693.2-10004@26.5,0.00,0.00,3,3,0.01,0.01,0.00,0.00,0.637,0.124,0.148,0.009
85,30-60,1,0.00,0.00,8,8,1.77,1.77,0.00,0.00,1.972,0.384,0.457,0.028
85,30-60,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
85,30-60,2-1@837.8-14@851.1,0.00,0.00,2,2,0.06,0.06,0.00,0.00,0.464,0.090,0.108,0.007
85,30-60,2-14@796.4-14@851.1,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.180,0.035,0.042,0.003
85,30-60,2-14@796.4-10001@30.8,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.158,0.031,0.037,0.002
85,30-60,2,0.00,0.00,4,4,0.03,0.03,0.00,0.00,0.803,0.156,0.186,0.011
85,30-60,3-4@324.6-4@369.4,0.00,0.00,9,9,0.47,0.47,0.00,0.00,2.093,0.407,0.485,0.030
85,30-60,3-4@324.6-10007@30.9,0.00,0.00,6,6,0.58,0.58,0.00,0.00,1.322,0.257,0.307,0.019
85,30-60,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
85,30-60,3-14@898.0-10006@31.1,0.00,0.00,1,1,2.36,2.36,0.00,0.00,0.172,0.033,0.040,0.002
85,30-60,3,0.00,0.00,16,16,0.63,0.63,0.00,0.00,3.587,0.698,0.831,0.051
85,30-60,4-14@1011.0-14@1063.6,0.00,0.00,2,2,2.86,2.86,0.01,0.50,1.092,0.212,0.253,0.016
85,30-60,4-14@1011.0-10016@29.4,0.00,0.00,2,2,3.63,3.63,0.00,0.00,0.433,0.084,0.100,0.006
85,30-60,4-15@604.3-14@1063.6,0.00,0.00,2,2,2.26,2.26,0.00,0.00,0.529,0.103,0.123,0.008
85,30-60,4-15@604.3-15@649.2,0.00,0.00,4,4,0.28,0.28,0.00,0.00,0.922,0.179,0.214,0.013
85,30-60,4,0.00,0.00,10,10,1.86,1.86,0.00,0.10,2.988,0.581,0.692,0.043
85,30-60,5-6@768.7-6@814.5,0.00,0.00,1,1,0.00,0.00,0.00,0.00,0.226,0.044,0.052,0.003
85,30-60,5-6@768.7-15@962.8,0.00,0.00,3,3,0.44,0.44,0.00,0.00,0.683,0.133,0.158,0.010
85,30-60,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
85,30-60,5-15@914.3-10009@29.7,0.00,0.00,1,1,2.39,2.39,0.00,0.00,0.255,0.050,0.059,0.004
85,30-60,5,0.00,0.00,5,5,0.74,0.74,0.00,0.00,1.163,0.226,0.270,0.017
85,30-60,6-4@648.1-4@693.4,0.00,0.00,0,0,,,,,,,,
85,30-60,6-4@648.1-10011@28.0,0.00,0.00,3,3,0.02,0.02,0.00,0.00,0.618,0.120,0.143,0.009
85,30-60,6-6@873.8-6@922.0,0.00,0.00,1,1,0.38,0.38,0.00,0.00,0.170,0.033,0.039,0.002
85,30-60,6-6@873.8-10010@30.8,0.00,0.00,0,0,,,,,,,,
85,30-60,6,0.00,0.00,4,4,0.11,0.11,0.00,0.00,0.788,0.153,0.183,0.011
85,30-60,7-1@503.1-1@548.9,0.00,0.00,3,3,0.00,0.00,0.00,0.00,0.678,0.132,0.157,0.010
85,30-60,7-1@503.1-10013@36.1,0.00,0.00,5,5,0.25,0.25,0.00,0.00,1.154,0.225,0.267,0.017
85,30-60,7-6@980.0-6@1025.6,0.00,0.00,1,1,1.15,1.15,0.00,0.00,0.175,0.034,0.041,0.003
85,30-60,7-6@980.0-10012@23.9,0.00,0.00,2,2,1.90,1.90,0.00,0.00,0.324,0.063,0.075,0.005
85,30-60,7-10013@36.2-6@1025.6,0.00,0.00,0,0,,,,,,,,
85,30-60,7,0.00,0.00,11,11,0.56,0.56,0.00,0.00,2.326,0.453,0.539,0.033
85,30-60,8-5@423.2-5@469.0,0.00,0.00,7,7,1.42,1.42,0.00,0.00,1.734,0.337,0.402,0.025
85,30-60,8-5@423.2-10015@36.2,0.00,0.00,9,9,0.19,0.19,0.00,0.00,2.065,0.402,0.478,0.030
85,30-60,8-6@1083.5-6@1131.5,0.00,0.00,1,1,0.16,0.16,0.00,0.00,0.175,0.034,0.040,0.002
85,30-60,8-6@1083.5-10014@29.1,0.00,0.00,2,2,1.61,1.61,0.00,0.00,0.331,0.064,0.077,0.005
85,30-60,8,0.00,0.00,19,19,0.79,0.79,0.00,0.00,4.300,0.837,0.997,0.062
85,60-90,1-5@775.8-5@820.6,0.00,0.00,8,8,2.21,2.21,0.00,0.00,2.044,0.398,0.474,0.029
85,60-90,1-5@775.8-10005@28.0,0.00,0.00,2,2,0.22,0.22,0.00,0.00,0.436,0.085,0.101,0.006
85,60-90,1-14@693.2-14@738.8,18.13,34.11,0,0,,,,,,,,
85,60-90,1-14@693.2-10004@26.5,18.13,34.11,1,1,1.92,1.92,0.00,0.00,0.240,0.047,0.056,0.003
85,60-90,1,9.06,34.11,11,11,1.83,1.83,0.00,0.00,2.720,0.529,0.630,0.039
85,60-90,2-1@837.8-1@893.0,0.00,0.00,5,5,0.30,0.30,0.00,0.00,1.211,0.236,0.281,0.017
85,60-90,2-1@837.8-14@851.1,0.00,0.00,3,3,2.01,2.01,0.00,0.00,0.772,0.150,0.179,0.011
85,60-90,2-14@796.4-14@851.1,6.96,11.92,0,0,,,,,,,,
85,60-90,2-14@796.4-10001@30.8,6.96,11.92,1,1,7.58,7.58,0.15,1.00,0.942,0.183,0.218,0.013
85,60-90,2,3.48,11.92,9,9,1.68,1.68,0.02,0.11,2.969,0.578,0.688,0.042
85,60-90,3-4@324.6-4@369.4,0.00,0.00,15,15,0.83,0.83,0.00,0.00,3.543,0.689,0.821,0.051
85,60-90,3-4@324.6-10007@30.9,0.00,0.00,6,6,2.10,2.10,0.00,0.00,1.469,0.286,0.340,0.021
85,60-90,3-14@898.0-14@946.8,12.70,18.57,0,0,,,,,,,,
85,60-90,3-14@898.0-10006@31.1,12.70,18.57,0,0,,,,,,,,
85,60-90,3,6.35,18.57,21,21,1.19,1.19,0.00,0.00,5.011,0.975,1.161,0.072
85,60-90,4-14@1011.0-14@1063.6,15.07,27.99,0,0,,,,,,,,
85,60-90,4-14@1011.0-10016@29.4,15.07,27.99,0,0,,,,,,,,
85,60-90,4-15@604.3-14@1063.6,0.00,0.00,6,6,0.42,0.42,0.00,0.00,1.381,0.269,0.320,0.020
85,60-90,4-15@604.3-15@649.2,0.00,0.00,6,6,0.32,0.32,0.00,0.00,1.395,0.271,0.323,0.020
85,60-90,4,7.54,27.99,12,12,0.37,0.37,0.00,0.00,2.776,0.540,0.643,0.040
85,60-90,5-6@768.7-6@814.5,26.83,52.22,1,1,5.57,5.57,0.05,1.00,0.948,0.185,0.220,0.014
