$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),VEHDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
226,0-115,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,4.70,12.50,3,5.10,1.89,0.33,1.533,0.298,0.355,0.022
226,0-115,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,35.96,103.46,0,,,,,,,
226,0-115,1-2: Carrera 25@133.6-2: Carrera 25@209.1,35.96,103.46,0,,,,,,,
226,0-115,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,35.96,103.46,5,0.00,0.00,0.00,1.283,0.250,0.297,0.018
226,0-115,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,35.96,103.46,3,0.00,0.00,0.00,0.743,0.145,0.172,0.011
226,0-115,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,9.95,38.54,9,15.93,10.86,0.56,6.925,1.347,1.605,0.099
226,0-115,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,9.95,38.54,17,18.54,12.71,0.59,13.461,2.619,3.120,0.193
226,0-115,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.82,17.84,8,29.69,24.70,0.63,8.061,1.568,1.868,0.115
226,0-115,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,5.22,19.73,7,4.50,1.95,0.43,3.541,0.689,0.821,0.051
226,0-115,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,5.22,19.73,4,1.99,0.00,0.00,1.264,0.246,0.293,0.018
226,0-115,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,10.29,44.91,3,12.24,6.14,0.67,2.182,0.425,0.506,0.031
226,0-115,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,10.29,44.91,12,26.11,18.81,0.92,13.239,2.576,3.068,0.189
226,0-115,1-7: Carrera1@36.5-2: Carrera 25@209.1,11.24,25.48,4,55.86,46.72,1.25,6.674,1.299,1.547,0.095
226,0-115,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,2.36,12.95,1,0.00,0.00,0.00,0.278,0.054,0.065,0.004
226,0-115,1,10.94,103.46,76,17.42,12.66,0.55,59.003,11.480,13.674,0.844
226,115-230,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,12.40,31.55,9,55.89,47.01,1.00,14.022,2.728,3.250,0.201
226,115-230,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,48.56,140.45,9,16.16,13.30,0.33,6.054,1.178,1.403,0.087
226,115-230,1-2: Carrera 25@133.6-2: Carrera 25@209.1,48.56,140.45,12,41.53,34.87,0.67,14.329,2.788,3.321,0.205
226,115-230,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,48.56,140.45,17,36.46,28.85,0.82,19.781,3.849,4.584,0.283
226,115-230,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,48.56,140.45,14,31.64,25.93,0.64,13.982,2.720,3.240,0.200
226,115-230,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,26.37,58.21,10,44.99,37.27,0.80,13.207,2.570,3.061,0.189
226,115-230,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,26.37,58.21,21,40.79,33.21,0.81,25.497,4.961,5.909,0.365
226,115-230,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,12.28,31.99,8,42.55,32.91,1.00,11.200,2.179,2.596,0.160
226,115-230,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,23.73,49.43,12,42.28,33.73,0.83,14.807,2.881,3.432,0.212
226,115-230,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,23.73,49.43,6,39.64,32.09,0.83,7.404,1.441,1.716,0.106
226,115-230,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,13.71,30.44,6,42.46,34.77,0.83,7.527,1.464,1.744,0.108
226,115-230,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,13.71,30.44,5,42.50,35.90,0.80,6.228,1.212,1.443,0.089
226,115-230,1-7: Carrera1@36.5-2: Carrera 25@209.1,14.98,44.48,8,35.76,28.32,0.75,9.234,1.797,2.140,0.132
226,115-230,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,12.08,24.38,4,44.74,36.86,0.75,5.085,0.989,1.178,0.073
226,115-230,1,20.51,140.45,141,39.25,31.97,0.77,168.130,32.712,38.966,2.405
226,230-345,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,8.01,12.79,5,43.46,36.49,0.80,6.382,1.242,1.479,0.091
226,230-345,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,23.69,64.23,8,26.49,19.71,0.63,7.672,1.493,1.778,0.110
226,230-345,1-2: Carrera 25@133.6-2: Carrera 25@209.1,23.69,64.23,6,26.03,21.29,0.50,5.413,1.053,1.255,0.077
226,230-345,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,23.69,64.23,7,19.14,12.88,0.57,5.461,1.062,1.266,0.078
226,230-345,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,23.69,64.23,8,31.23,24.57,0.75,8.345,1.624,1.934,0.119
226,230-345,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,27.57,62.56,11,44.15,36.53,0.82,14.321,2.786,3.319,0.205
226,230-345,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,27.57,62.56,21,41.40,33.01,0.81,25.668,4.994,5.949,0.367
226,230-345,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,8.33,25.18,9,28.20,22.19,0.67,8.858,1.723,2.053,0.127
226,230-345,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,39.25,84.07,14,60.61,51.59,1.07,22.434,4.365,5.199,0.321
226,230-345,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,39.25,84.07,11,48.09,39.11,0.91,15.204,2.958,3.524,0.218
226,230-345,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,31.49,69.25,7,58.67,49.60,1.00,10.606,2.064,2.458,0.152
226,230-345,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,31.49,69.25,11,48.13,39.52,0.91,15.416,2.999,3.573,0.221
226,230-345,1-7: Carrera1@36.5-2: Carrera 25@209.1,17.68,44.91,7,48.76,38.80,1.14,10.598,2.062,2.456,0.152
226,230-345,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,14.45,36.88,8,47.98,41.47,0.75,10.553,2.053,2.446,0.151
226,230-345,1,21.31,84.07,133,42.26,34.49,0.83,166.839,32.461,38.667,2.387
226,345-460,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,4.76,12.36,8,31.73,26.41,0.50,7.714,1.501,1.788,0.110
226,345-460,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,38.34,95.81,2,37.06,28.16,1.00,2.496,0.486,0.578,0.036
226,345-460,1-2: Carrera 25@133.6-2: Carrera 25@209.1,38.34,95.81,9,46.51,37.58,1.00,12.782,2.487,2.962,0.183
226,345-460,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,38.34,95.81,2,39.99,30.90,1.00,2.595,0.505,0.601,0.037
226,345-460,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,38.34,95.81,10,27.03,19.39,0.70,9.649,1.877,2.236,0.138
226,345-460,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,27.60,64.03,11,37.40,30.14,0.82,13.315,2.591,3.086,0.190
226,345-460,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,27.60,64.03,20,43.19,33.62,1.05,27.347,5.321,6.338,0.391
226,345-460,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,11.55,43.63,13,27.03,19.84,0.85,14.039,2.731,3.254,0.201
226,345-460,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,14.31,37.17,8,39.58,32.79,0.75,9.137,1.778,2.118,0.131
226,345-460,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,14.31,37.17,5,28.90,22.09,1.00,5.827,1.134,1.350,0.083
226,345-460,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,17.92,43.98,5,28.26,21.87,0.60,4.561,0.887,1.057,0.065
226,345-460,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,17.92,43.98,17,29.47,21.94,0.71,17.510,3.407,4.058,0.250
226,345-460,1-7: Carrera1@36.5-2: Carrera 25@209.1,7.80,18.93,6,27.58,23.25,0.50,5.513,1.073,1.278,0.079
226,345-460,1-8: Carrera1@32.1-3: Avenida Mijitayo@209.2,11.06,32.28,6,27.58,20.92,0.67,5.812,1.131,1.347,0.083
226,345-460,1,16.67,95.81,122,34.08,26.59,0.80,138.186,26.886,32.026,1.977
226,460-575,1-1: Panamericana N-S@222.8-1: Panamericana N-S@290.3,5.98,12.68,4,42.66,34.52,1.00,5.368,1.044,1.244,0.077
226,460-575,1-2: Carrera 25@133.6-1: Panamericana N-S@290.3,42.71,102.58,7,50.43,41.55,0.86,9.679,1.883,2.243,0.138
226,460-575,1-2: Carrera 25@133.6-2: Carrera 25@209.1,42.71,102.58,9,24.85,18.74,0.67,8.627,1.678,1.999,0.123
226,460-575,1-2: Carrera 25@133.6-4: Panamericana S-N@229.2,42.71,102.58,11,49.97,41.60,1.00,15.768,3.068,3.654,0.226
226,460-575,1-2: Carrera 25@133.6-6: Panamericana S-N paralela@165.6,42.71,102.58,9,43.22,34.92,1.11,12.179,2.370,2.823,0.174
226,460-575,1-3: Avenida Mijitayo@134.1-3: Avenida Mijitayo@209.2,28.90,62.40,10,51.04,42.74,0.90,14.444,2.810,3.348,0.207
226,460-575,1-3: Avenida Mijitayo@134.1-10007: Av Mijitayo-Panamericana  N-S Paralela@41.6,28.90,62.40,21,44.89,36.63,0.86,27.087,5.270,6.278,0.388
226,460-575,1-4: Panamericana S-N@161.8-4: Panamericana S-N@229.2,7.54,20.61,6,38.99,32.08,0.83,7.258,1.412,1.682,0.104
226,460-575,1-5: Panamericana N-S Paralela@127.9-2: Carrera 25@209.1,25.09,57.30,12,47.16,38.49,0.92,16.180,3.148,3.750,0.231
226,460-575,1-5: Panamericana N-S Paralela@127.9-5: Panamericana N-S Paralela@195.4,25.09,57.30,5,38.20,29.76,1.00,6.486,1.262,1.503,0.093
226,460-575,1-6: Panamericana S-N paralela@98.1-3: Avenida Mijitayo@209.2,18.72,51.66,10,29.92,22.60,0.80,10.110,1.967,2.343,0.145
226,460-575,1-6: Panamericana S-N paralela@98.1-6: Panamericana S-N paralela@165.6,18.72,51.66,9,37.50,30.65,0.78,10.598,2.062,2.456,0.152
226,460-575,1-7: Carrera1@36.5-2: Carrera 25@209.1,13.82,46.42,8,33.57,25.32,0.75,8.839,1.720,2.049,0.126
